ticker,market,source,disclosure_period,yfinance_inst_pct,refined_inst_pct,state_soe_pct,controlling_family_pct,promoter_pct,fii_pct,dii_pct,public_pct,institutions_breakdown_notes
# === India (SEBI shareholding pattern, Dec 2025) via screener.in ===
# refined_inst_pct = FII + DII (SEBI canonical "institutional")
RELIANCE.NS,IN,screener.in,2025-12,0.27867,0.3939,0.0,0.0,0.5001,0.1909,0.203,0.1064,"FII 19.09 + DII 20.3 = refined; promoter 50.01 excluded"
TCS.NS,IN,screener.in,2025-12,0.16973,0.2318,0.0,0.0,0.7177,0.1037,0.1281,0.0498,"FII 10.37 + DII 12.81; promoter 71.77 excluded"
HDFCBANK.NS,IN,screener.in,2026-03,0.55576,0.8419,0.0,0.0,0.0,0.4405,0.4014,0.1564,"Promoter 0 (post-HDFC merger); FII+DII=84.19"
INFY.NS,IN,screener.in,2026-03,0.49056,0.7164,0.0,0.0,0.1438,0.2845,0.4319,0.1354,"FII 28.45 + DII 43.19; promoter 14.38 excluded"
ICICIBANK.NS,IN,screener.in,2025-12,0.55856,0.9061,0.0027,0.0,0.0,0.4387,0.4674,0.0913,"FII 43.87 + DII 46.74; no promoter"
SBIN.NS,IN,screener.in,2025-12,0.2891,0.3738,0.0,0.0,0.555,0.1034,0.2704,0.0697,"Gov-controlled (promoter 55.5%); FII+DII=37.38"
BHARTIARTL.NS,IN,screener.in,2025-12,0.31827,0.4829,0.0,0.0,0.4887,0.2875,0.1954,0.0265,"Promoter 48.87 (Bharti/Singtel); FII+DII=48.29"
HINDUNILVR.NS,IN,screener.in,2025-12,0.19452,0.2639,0.0,0.0,0.619,0.1071,0.1568,0.1164,"Promoter Unilever 61.9; FII+DII=26.39"
ITC.NS,IN,screener.in,2025-12,0.50216997,0.8501,0.0004,0.0,0.0,0.3611,0.489,0.1495,"No single promoter (BAT 29% counted in FII); FII+DII=85.01"
KOTAKBANK.NS,IN,screener.in,2026-03,0.47109002,0.6259,0.0,0.0,0.2587,0.264,0.3619,0.1154,"Promoter Uday Kotak 25.87; FII+DII=62.59"
# === Brazil (Simply Wall St, Apr 2026) ===
# refined_inst_pct = Institutions (foreign+local pooled); controlling_private_companies excluded
VALE3.SA,BR,simplywallst,2026-04,0.57060003,0.551,0.0,0.00328,0.0,0.0,0.0,0.379,"Institutions 55.1; Private Co 0.33 minimal; Gov near zero"
PETR4.SA,BR,simplywallst,2026-04,0.61049,0.365,0.29,0.0,0.0,0.0,0.0,0.265,"Gov (Brazil state) 29% + VC/PE 8.03 separate; Inst=36.5"
ITUB4.SA,BR,simplywallst,2026-04,0.60033,0.31,0.0,0.463,0.0,0.0,0.0,0.226,"Itausa controlling 46.3%; Inst=31"
BBDC4.SA,BR,simplywallst,2026-04,0.39905,0.371,0.0,0.285,0.0,0.0,0.0,0.343,"Cidade de Deus private controlling 28.5; Inst=37.1"
BBAS3.SA,BR,simplywallst,2026-04,0.28485,0.18,0.502,0.0,0.0,0.0,0.0,0.318,"Gov (federal) 50.2%; Inst 18"
ABEV3.SA,BR,simplywallst,2026-04,0.099980004,0.253,0.0,0.723,0.0,0.0,0.0,0.024,"AB InBev controlling 62.3 + Zerrenner 10.3 = 72.6 controlling; Inst 25.3"
B3SA3.SA,BR,simplywallst,2026-04,0.82895,0.641,0.0,0.0,0.0,0.0,0.0,0.36,"No dominant controller; Inst 64.1 close to yfinance 82.9 but slightly lower"
ITSA4.SA,BR,simplywallst,2026-04,0.37798,0.244,0.0,0.331,0.0,0.0,0.0,0.375,"Villela family insiders 33.1 + Foundation 4.39 controlling; Inst 24.4"
MGLU3.SA,BR,simplywallst,2026-04,0.29201,0.1855,0.0,0.498,0.0,0.0,0.0,0.221,"LTD Administração 49.8 controlling; Inst 18.7 + Hedge 7.85"
RENT3.SA,BR,simplywallst,2026-04,0.79197997,0.583,0.0,0.184,0.0,0.0,0.0,0.23,"Mattar family insiders 18.4; Inst 58.3"
# === Mexico (Simply Wall St, Apr 2026) ===
# refined_inst_pct = Institutions (non-family)
