Price,Close,High,Low,Open,Volume
Ticker,^SKEW,^SKEW,^SKEW,^SKEW,^SKEW
Date,,,,,
2000-01-03,117.83999633789062,117.83999633789062,117.83999633789062,117.83999633789062,0
2000-01-04,114.22000122070312,114.22000122070312,114.22000122070312,114.22000122070312,0
2000-01-05,114.81999969482422,114.81999969482422,114.81999969482422,114.81999969482422,0
2000-01-06,114.87000274658203,114.87000274658203,114.87000274658203,114.87000274658203,0
2000-01-07,117.3499984741211,117.3499984741211,117.3499984741211,117.3499984741211,0
2000-01-10,115.7300033569336,115.7300033569336,115.7300033569336,115.7300033569336,0
2000-01-11,114.9800033569336,114.9800033569336,114.9800033569336,114.9800033569336,0
2000-01-12,114.13999938964844,114.13999938964844,114.13999938964844,114.13999938964844,0
2000-01-13,115.18000030517578,115.18000030517578,115.18000030517578,115.18000030517578,0
2000-01-14,116.55999755859375,116.55999755859375,116.55999755859375,116.55999755859375,0
2000-01-18,114.37999725341797,114.37999725341797,114.37999725341797,114.37999725341797,0
2000-01-19,115.5,115.5,115.5,115.5,0
2000-01-20,114.80000305175781,114.80000305175781,114.80000305175781,114.80000305175781,0
2000-01-21,116.12999725341797,116.12999725341797,116.12999725341797,116.12999725341797,0
2000-01-24,114.36000061035156,114.36000061035156,114.36000061035156,114.36000061035156,0
2000-01-25,116.06999969482422,116.06999969482422,116.06999969482422,116.06999969482422,0
2000-01-26,115.25,115.25,115.25,115.25,0
2000-01-27,115.88999938964844,115.88999938964844,115.88999938964844,115.88999938964844,0
2000-01-28,113.48999786376953,113.48999786376953,113.48999786376953,113.48999786376953,0
2000-01-31,114.13999938964844,114.13999938964844,114.13999938964844,114.13999938964844,0
2000-02-01,114.12000274658203,114.12000274658203,114.12000274658203,114.12000274658203,0
2000-02-02,114.62000274658203,114.62000274658203,114.62000274658203,114.62000274658203,0
2000-02-03,115.31999969482422,115.31999969482422,115.31999969482422,115.31999969482422,0
2000-02-04,115.88999938964844,115.88999938964844,115.88999938964844,115.88999938964844,0
2000-02-07,116.30000305175781,116.30000305175781,116.30000305175781,116.30000305175781,0
2000-02-08,117.3499984741211,117.3499984741211,117.3499984741211,117.3499984741211,0
2000-02-09,115.33999633789062,115.33999633789062,115.33999633789062,115.33999633789062,0
2000-02-10,115.0199966430664,115.0199966430664,115.0199966430664,115.0199966430664,0
2000-02-11,114.93000030517578,114.93000030517578,114.93000030517578,114.93000030517578,0
2000-02-14,113.08999633789062,113.08999633789062,113.08999633789062,113.08999633789062,0
2000-02-15,116.06999969482422,116.06999969482422,116.06999969482422,116.06999969482422,0
2000-02-16,114.4000015258789,114.4000015258789,114.4000015258789,114.4000015258789,0
2000-02-17,114.76000213623047,114.76000213623047,114.76000213623047,114.76000213623047,0
2000-02-18,114.06999969482422,114.06999969482422,114.06999969482422,114.06999969482422,0
2000-02-22,112.47000122070312,112.47000122070312,112.47000122070312,112.47000122070312,0
2000-02-23,113.31999969482422,113.31999969482422,113.31999969482422,113.31999969482422,0
2000-02-24,111.5,111.5,111.5,111.5,0
2000-02-25,109.5199966430664,109.5199966430664,109.5199966430664,109.5199966430664,0
2000-02-28,111.31999969482422,111.31999969482422,111.31999969482422,111.31999969482422,0
2000-02-29,111.41999816894531,111.41999816894531,111.41999816894531,111.41999816894531,0
2000-03-01,113.1500015258789,113.1500015258789,113.1500015258789,113.1500015258789,0
2000-03-02,111.5199966430664,111.5199966430664,111.5199966430664,111.5199966430664,0
2000-03-03,112.22000122070312,112.22000122070312,112.22000122070312,112.22000122070312,0
2000-03-06,111.58999633789062,111.58999633789062,111.58999633789062,111.58999633789062,0
2000-03-07,110.37000274658203,110.37000274658203,110.37000274658203,110.37000274658203,0
2000-03-08,111.0199966430664,111.0199966430664,111.0199966430664,111.0199966430664,0
2000-03-09,113.26000213623047,113.26000213623047,113.26000213623047,113.26000213623047,0
2000-03-10,113.36000061035156,113.36000061035156,113.36000061035156,113.36000061035156,0
2000-03-13,114.93000030517578,114.93000030517578,114.93000030517578,114.93000030517578,0
2000-03-14,113.41000366210938,113.41000366210938,113.41000366210938,113.41000366210938,0
2000-03-15,114.16000366210938,114.16000366210938,114.16000366210938,114.16000366210938,0
2000-03-16,114.86000061035156,114.86000061035156,114.86000061035156,114.86000061035156,0
2000-03-17,115.12999725341797,115.12999725341797,115.12999725341797,115.12999725341797,0
2000-03-20,114.33999633789062,114.33999633789062,114.33999633789062,114.33999633789062,0
2000-03-21,113.79000091552734,113.79000091552734,113.79000091552734,113.79000091552734,0
2000-03-22,113.70999908447266,113.70999908447266,113.70999908447266,113.70999908447266,0
2000-03-23,114.23999786376953,114.23999786376953,114.23999786376953,114.23999786376953,0
2000-03-24,113.47000122070312,113.47000122070312,113.47000122070312,113.47000122070312,0
2000-03-27,112.75,112.75,112.75,112.75,0
2000-03-28,113.33000183105469,113.33000183105469,113.33000183105469,113.33000183105469,0
2000-03-29,113.95999908447266,113.95999908447266,113.95999908447266,113.95999908447266,0
2000-03-30,112.54000091552734,112.54000091552734,112.54000091552734,112.54000091552734,0
2000-03-31,113.3499984741211,113.3499984741211,113.3499984741211,113.3499984741211,0
