date,股災,isPartial
2022-02-27,2,False
2022-03-06,7,False
2022-03-13,5,False
2022-03-20,2,False
2022-03-27,2,False
2022-04-03,2,False
2022-04-10,2,False
2022-04-17,2,False
2022-04-24,4,False
2022-05-01,2,False
2022-05-08,6,False
2022-05-15,3,False
2022-05-22,2,False
2022-05-29,2,False
2022-06-05,0,False
2022-06-12,3,False
2022-06-19,5,False
2022-06-26,8,False
2022-07-03,5,False
2022-07-10,3,False
2022-07-17,2,False
2022-07-24,2,False
2022-07-31,2,False
2022-08-07,0,False
2022-08-14,2,False
2022-08-21,0,False
2022-08-28,2,False
2022-09-04,0,False
2022-09-11,2,False
2022-09-18,2,False
2022-09-25,10,False
2022-10-02,4,False
2022-10-09,5,False
2022-10-16,4,False
2022-10-23,0,False
2022-10-30,3,False
2022-11-06,0,False
2022-11-13,2,False
2022-11-20,0,False
2022-11-27,0,False
2022-12-04,2,False
2022-12-11,2,False
2022-12-18,0,False
2022-12-25,0,False
2023-01-01,0,False
2023-01-08,0,False
2023-01-15,0,False
2023-01-22,0,False
2023-01-29,0,False
2023-02-05,2,False
2023-02-12,0,False
2023-02-19,0,False
2023-02-26,0,False
2023-03-05,0,False
2023-03-12,0,False
2023-03-19,0,False
2023-03-26,2,False
2023-04-02,0,False
2023-04-09,2,False
2023-04-16,0,False
2023-04-23,3,False
2023-04-30,0,False
2023-05-07,0,False
2023-05-14,0,False
2023-05-21,0,False
2023-05-28,0,False
2023-06-04,0,False
2023-06-11,0,False
2023-06-18,0,False
2023-06-25,0,False
2023-07-02,0,False
2023-07-09,0,False
2023-07-16,0,False
2023-07-23,2,False
2023-07-30,3,False
2023-08-06,2,False
2023-08-13,2,False
2023-08-20,0,False
2023-08-27,0,False
2023-09-03,0,False
2023-09-10,0,False
2023-09-17,0,False
2023-09-24,0,False
2023-10-01,2,False
2023-10-08,0,False
2023-10-15,0,False
2023-10-22,2,False
2023-10-29,0,False
2023-11-05,0,False
2023-11-12,0,False
2023-11-19,0,False
2023-11-26,0,False
2023-12-03,0,False
2023-12-10,0,False
2023-12-17,0,False
2023-12-24,0,False
2023-12-31,0,False
2024-01-07,0,False
2024-01-14,2,False
2024-01-21,3,False
2024-01-28,0,False
2024-02-04,3,False
2024-02-11,0,False
2024-02-18,0,False
2024-02-25,2,False
2024-03-03,4,False
2024-03-10,3,False
2024-03-17,3,False
2024-03-24,2,False
2024-03-31,0,False
2024-04-07,2,False
2024-04-14,4,False
2024-04-21,3,False
2024-04-28,0,False
2024-05-05,0,False
2024-05-12,3,False
2024-05-19,3,False
2024-05-26,2,False
2024-06-02,0,False
2024-06-09,2,False
2024-06-16,3,False
2024-06-23,0,False
2024-06-30,3,False
2024-07-07,2,False
2024-07-14,3,False
2024-07-21,3,False
2024-07-28,4,False
2024-08-04,51,False
2024-08-11,6,False
2024-08-18,4,False
2024-08-25,4,False
2024-09-01,6,False
2024-09-08,5,False
2024-09-15,0,False
2024-09-22,3,False
2024-09-29,3,False
2024-10-06,3,False
2024-10-13,0,False
2024-10-20,3,False
2024-10-27,2,False
2024-11-03,0,False
2024-11-10,2,False
2024-11-17,3,False
2024-11-24,0,False
2024-12-01,2,False
2024-12-08,0,False
2024-12-15,4,False
2024-12-22,0,False
2024-12-29,3,False
2025-01-05,0,False
2025-01-12,3,False
2025-01-19,0,False
2025-01-26,0,False
2025-02-02,4,False
2025-02-09,5,False
2025-02-16,2,False
2025-02-23,3,False
2025-03-02,4,False
2025-03-09,9,False
2025-03-16,0,False
2025-03-23,4,False
2025-03-30,23,False
2025-04-06,100,False
2025-04-13,14,False
2025-04-20,10,False
2025-04-27,4,False
2025-05-04,3,False
2025-05-11,3,False
2025-05-18,0,False
2025-05-25,3,False
2025-06-01,3,False
2025-06-08,5,False
2025-06-15,0,False
2025-06-22,3,False
2025-06-29,3,False
2025-07-06,3,False
2025-07-13,5,False
2025-07-20,0,False
2025-07-27,3,False
2025-08-03,3,False
2025-08-10,4,False
2025-08-17,4,False
2025-08-24,2,False
2025-08-31,0,False
2025-09-07,2,False
2025-09-14,3,False
2025-09-21,4,False
2025-09-28,2,False
2025-10-05,4,False
2025-10-12,8,False
2025-10-19,4,False
2025-10-26,4,False
2025-11-02,4,False
2025-11-09,0,False
2025-11-16,5,False
2025-11-23,2,False
2025-11-30,3,False
2025-12-07,4,False
2025-12-14,0,False
2025-12-21,0,False
2025-12-28,3,False
2026-01-04,5,False
2026-01-11,6,False
2026-01-18,3,False
2026-01-25,5,False
2026-02-01,5,False
2026-02-08,5,False
2026-02-15,3,False
2026-02-22,7,False
2026-03-01,8,False
2026-03-08,8,False
2026-03-15,3,True
