date,VIX,isPartial
2022-02-27,23,False
2022-03-06,22,False
2022-03-13,19,False
2022-03-20,17,False
2022-03-27,21,False
2022-04-03,24,False
2022-04-10,22,False
2022-04-17,21,False
2022-04-24,25,False
2022-05-01,26,False
2022-05-08,31,False
2022-05-15,27,False
2022-05-22,25,False
2022-05-29,23,False
2022-06-05,24,False
2022-06-12,34,False
2022-06-19,24,False
2022-06-26,27,False
2022-07-03,29,False
2022-07-10,29,False
2022-07-17,38,False
2022-07-24,31,False
2022-07-31,32,False
2022-08-07,28,False
2022-08-14,29,False
2022-08-21,30,False
2022-08-28,28,False
2022-09-04,27,False
2022-09-11,31,False
2022-09-18,30,False
2022-09-25,31,False
2022-10-02,25,False
2022-10-09,29,False
2022-10-16,26,False
2022-10-23,23,False
2022-10-30,26,False
2022-11-06,26,False
2022-11-13,30,False
2022-11-20,96,False
2022-11-27,83,False
2022-12-04,80,False
2022-12-11,49,False
2022-12-18,41,False
2022-12-25,27,False
2023-01-01,28,False
2023-01-08,29,False
2023-01-15,29,False
2023-01-22,31,False
2023-01-29,30,False
2023-02-05,27,False
2023-02-12,29,False
2023-02-19,29,False
2023-02-26,27,False
2023-03-05,28,False
2023-03-12,33,False
2023-03-19,32,False
2023-03-26,25,False
2023-04-02,25,False
2023-04-09,29,False
2023-04-16,31,False
2023-04-23,29,False
2023-04-30,29,False
2023-05-07,30,False
2023-05-14,30,False
2023-05-21,31,False
2023-05-28,29,False
2023-06-04,42,False
2023-06-11,42,False
2023-06-18,45,False
2023-06-25,43,False
2023-07-02,41,False
2023-07-09,45,False
2023-07-16,42,False
2023-07-23,39,False
2023-07-30,39,False
2023-08-06,40,False
2023-08-13,40,False
2023-08-20,34,False
2023-08-27,33,False
2023-09-03,32,False
2023-09-10,28,False
2023-09-17,34,False
2023-09-24,38,False
2023-10-01,36,False
2023-10-08,33,False
2023-10-15,31,False
2023-10-22,34,False
2023-10-29,31,False
2023-11-05,31,False
2023-11-12,31,False
2023-11-19,34,False
2023-11-26,31,False
2023-12-03,30,False
2023-12-10,28,False
2023-12-17,32,False
2023-12-24,31,False
2023-12-31,31,False
2024-01-07,31,False
2024-01-14,37,False
2024-01-21,35,False
2024-01-28,38,False
2024-02-04,36,False
2024-02-11,46,False
2024-02-18,39,False
2024-02-25,35,False
2024-03-03,36,False
2024-03-10,33,False
2024-03-17,33,False
2024-03-24,31,False
2024-03-31,34,False
2024-04-07,37,False
2024-04-14,39,False
2024-04-21,41,False
2024-04-28,37,False
2024-05-05,44,False
2024-05-12,46,False
2024-05-19,43,False
2024-05-26,44,False
2024-06-02,48,False
2024-06-09,41,False
2024-06-16,47,False
2024-06-23,45,False
2024-06-30,45,False
2024-07-07,42,False
2024-07-14,44,False
2024-07-21,55,False
2024-07-28,53,False
2024-08-04,100,False
2024-08-11,59,False
2024-08-18,52,False
2024-08-25,46,False
2024-09-01,52,False
2024-09-08,42,False
2024-09-15,42,False
2024-09-22,38,False
2024-09-29,42,False
2024-10-06,37,False
2024-10-13,30,False
2024-10-20,35,False
2024-10-27,30,False
2024-11-03,35,False
2024-11-10,33,False
2024-11-17,35,False
2024-11-24,32,False
2024-12-01,31,False
2024-12-08,31,False
2024-12-15,37,False
2024-12-22,33,False
2024-12-29,30,False
2025-01-05,33,False
2025-01-12,33,False
2025-01-19,33,False
2025-01-26,38,False
2025-02-02,33,False
2025-02-09,31,False
2025-02-16,33,False
2025-02-23,34,False
2025-03-02,41,False
2025-03-09,41,False
2025-03-16,33,False
2025-03-23,34,False
2025-03-30,48,False
2025-04-06,84,False
2025-04-13,41,False
2025-04-20,39,False
2025-04-27,33,False
2025-05-04,35,False
2025-05-11,34,False
2025-05-18,35,False
2025-05-25,31,False
2025-06-01,32,False
2025-06-08,36,False
2025-06-15,37,False
2025-06-22,36,False
2025-06-29,32,False
2025-07-06,33,False
2025-07-13,31,False
2025-07-20,33,False
2025-07-27,51,False
2025-08-03,45,False
2025-08-10,57,False
2025-08-17,56,False
2025-08-24,49,False
2025-08-31,47,False
2025-09-07,42,False
2025-09-14,43,False
2025-09-21,46,False
2025-09-28,47,False
2025-10-05,47,False
2025-10-12,55,False
2025-10-19,43,False
2025-10-26,39,False
2025-11-02,43,False
2025-11-09,41,False
2025-11-16,51,False
2025-11-23,45,False
2025-11-30,42,False
2025-12-07,39,False
2025-12-14,38,False
2025-12-21,34,False
2025-12-28,34,False
2026-01-04,39,False
2026-01-11,40,False
2026-01-18,46,False
2026-01-25,46,False
2026-02-01,48,False
2026-02-08,46,False
2026-02-15,43,False
2026-02-22,43,False
2026-03-01,59,False
2026-03-08,59,False
2026-03-15,45,True
