DATE,VALUE,RELEASE_DATE
1971-01-01,0.64575,1971-02-03
1971-02-01,0.8095,1971-03-03
1971-03-01,0.9897499999999999,1971-03-31
1971-04-01,1.2802,1971-05-05
1971-05-01,1.4369999999999998,1971-06-02
1971-06-01,1.1635,1971-06-30
1971-07-01,1.0508,1971-08-04
1971-08-01,1.7382499999999999,1971-09-01
1971-09-01,2.19625,1971-09-29
1971-10-01,1.8276,1971-11-03
1971-11-01,1.4,1971-12-01
1971-12-01,1.339,1972-01-05
1972-01-01,1.11875,1972-02-02
1972-02-01,0.7345,1972-03-01
1972-03-01,0.42379999999999995,1972-04-05
1972-04-01,0.2155,1972-05-03
1972-05-01,0.05575,1972-05-31
1972-06-01,0.11040000000000001,1972-07-05
1972-07-01,0.3035,1972-08-02
1972-08-01,0.2375,1972-08-30
1972-09-01,-0.0264,1972-10-04
1972-10-01,-0.1615,1972-11-01
1972-11-01,-0.2255,1972-11-29
1972-12-01,-0.2612,1973-01-03
1973-01-01,0.03924999999999999,1973-01-31
1973-02-01,0.66475,1973-02-28
1973-03-01,1.1846,1973-04-04
1973-04-01,1.23775,1973-05-02
1973-05-01,1.1425,1973-05-30
1973-06-01,1.182,1973-07-04
1973-07-01,1.54275,1973-08-01
1973-08-01,2.0944,1973-09-05
1973-09-01,2.39825,1973-10-03
1973-10-01,2.301,1973-10-31
1973-11-01,2.129,1973-12-05
1973-12-01,1.92025,1974-01-02
1974-01-01,1.31775,1974-01-30
1974-02-01,0.64275,1974-02-27
1974-03-01,0.5748,1974-04-03
1974-04-01,1.4445,1974-05-01
1974-05-01,2.9585999999999997,1974-06-05
1974-06-01,4.4585,1974-07-03
1974-07-01,5.1415,1974-07-31
1974-08-01,4.8991999999999996,1974-09-04
1974-09-01,4.234500000000001,1974-10-02
1974-10-01,3.54725,1974-10-30
1974-11-01,2.9088000000000003,1974-12-04
1974-12-01,2.56325,1975-01-01
1975-01-01,2.045,1975-02-05
1975-02-01,1.34425,1975-03-05
1975-03-01,0.8380000000000001,1975-04-02
1975-04-01,0.43624999999999997,1975-04-30
1975-05-01,0.053200000000000004,1975-06-04
1975-06-01,-0.15125,1975-07-02
1975-07-01,-0.167,1975-07-30
1975-08-01,-0.1146,1975-09-03
1975-09-01,0.007000000000000002,1975-10-01
1975-10-01,0.1278,1975-11-05
1975-11-01,0.1075,1975-12-03
1975-12-01,-0.086,1975-12-31
1976-01-01,-0.4048,1976-02-04
1976-02-01,-0.645,1976-03-03
1976-03-01,-0.736,1976-03-31
1976-04-01,-0.6914,1976-05-05
1976-05-01,-0.5355,1976-06-02
1976-06-01,-0.46825,1976-06-30
1976-07-01,-0.5628,1976-08-04
1976-08-01,-0.683,1976-09-01
1976-09-01,-0.7235,1976-09-29
1976-10-01,-0.7064,1976-11-03
1976-11-01,-0.6715,1976-12-01
1976-12-01,-0.7106,1977-01-05
1977-01-01,-0.851,1977-02-02
1977-02-01,-0.94075,1977-03-02
1977-03-01,-0.89725,1977-03-30
1977-04-01,-0.7354,1977-05-04
1977-05-01,-0.56575,1977-06-01
1977-06-01,-0.49524999999999997,1977-06-29
1977-07-01,-0.5048,1977-08-03
1977-08-01,-0.49975,1977-08-31
1977-09-01,-0.426,1977-10-05
1977-10-01,-0.30774999999999997,1977-11-02
1977-11-01,-0.22925,1977-11-30
1977-12-01,-0.23420000000000002,1978-01-04
1978-01-01,-0.2875,1978-02-01
1978-02-01,-0.25675,1978-03-01
1978-03-01,-0.0706,1978-04-05
1978-04-01,0.1975,1978-05-03
1978-05-01,0.4415,1978-05-31
1978-06-01,0.6202,1978-07-05
1978-07-01,0.6085,1978-08-02
1978-08-01,0.499,1978-08-30
1978-09-01,0.6606,1978-10-04
1978-10-01,1.32325,1978-11-01
1978-11-01,1.90375,1978-11-29
1978-12-01,1.9032,1979-01-03
1979-01-01,1.3565,1979-01-31
1979-02-01,0.78725,1979-02-28
1979-03-01,0.37,1979-04-04
1979-04-01,0.24925,1979-05-02
1979-05-01,0.37125,1979-05-30
1979-06-01,0.6786,1979-07-04
1979-07-01,1.041,1979-08-01
1979-08-01,1.4693999999999998,1979-09-05
1979-09-01,2.00375,1979-10-03
1979-10-01,2.4065,1979-10-31
1979-11-01,2.4334,1979-12-05
1979-12-01,2.03575,1980-01-02
1980-01-01,1.7742499999999999,1980-01-30
1980-02-01,2.229,1980-03-05
1980-03-01,3.36975,1980-04-02
1980-04-01,3.9535,1980-04-30
1980-05-01,3.2748,1980-06-04
1980-06-01,1.9377499999999999,1980-07-02
1980-07-01,1.025,1980-07-30
1980-08-01,0.8018000000000001,1980-09-03
1980-09-01,1.08125,1980-10-01
1980-10-01,1.6362,1980-11-05
1980-11-01,2.5412500000000002,1980-12-03
1980-12-01,3.2167499999999998,1980-12-31
1981-01-01,3.0256,1981-02-04
1981-02-01,2.22425,1981-03-04
1981-03-01,1.734,1981-04-01
1981-04-01,1.78975,1981-04-29
1981-05-01,2.3708,1981-06-03
1981-06-01,3.10025,1981-07-01
1981-07-01,3.4921999999999995,1981-08-05
1981-08-01,3.3695,1981-09-02
1981-09-01,3.08075,1981-09-30
1981-10-01,2.8178,1981-11-04
1981-11-01,2.51375,1981-12-02
1981-12-01,2.18325,1981-12-30
1982-01-01,1.9420000000000002,1982-02-03
1982-02-01,1.95825,1982-03-03
1982-03-01,2.073,1982-03-31
1982-04-01,2.1868,1982-05-05
1982-05-01,2.4537500000000003,1982-06-02
1982-06-01,2.81,1982-06-30
1982-07-01,2.9984,1982-08-04
1982-08-01,3.2155,1982-09-01
1982-09-01,3.42525,1982-09-29
1982-10-01,2.726,1982-11-03
1982-11-01,1.474,1982-12-01
1982-12-01,0.7312,1983-01-05
1983-01-01,0.3415,1983-02-02
1983-02-01,0.1185,1983-03-02
1983-03-01,0.025249999999999998,1983-03-30
1983-04-01,-0.046200000000000005,1983-05-04
1983-05-01,-0.1645,1983-06-01
1983-06-01,-0.192,1983-06-29
1983-07-01,-0.1224,1983-08-03
1983-08-01,-0.08325,1983-08-31
1983-09-01,-0.094,1983-10-05
1983-10-01,-0.03375,1983-11-02
1983-11-01,0.06625,1983-11-30
1983-12-01,0.089,1984-01-04
1984-01-01,-0.03825,1984-02-01
1984-02-01,-0.17225000000000001,1984-02-29
1984-03-01,-0.1318,1984-04-04
1984-04-01,0.20450000000000002,1984-05-02
1984-05-01,0.6950000000000001,1984-05-30
1984-06-01,1.1214,1984-07-04
1984-07-01,1.1105,1984-08-01
1984-08-01,0.7382,1984-09-05
1984-09-01,0.40875,1984-10-03
1984-10-01,0.1825,1984-10-31
1984-11-01,-0.0348,1984-12-05
1984-12-01,-0.22325,1985-01-02
1985-01-01,-0.36075,1985-01-30
1985-02-01,-0.37725,1985-02-27
1985-03-01,-0.2968,1985-04-03
1985-04-01,-0.30575,1985-05-01
1985-05-01,-0.4218,1985-06-05
1985-06-01,-0.46299999999999997,1985-07-03
1985-07-01,-0.37375,1985-07-31
1985-08-01,-0.21459999999999999,1985-09-04
1985-09-01,-0.13725,1985-10-02
