month_end,obs_date,release_date,value
2000-01-31,1999-12-01,2000-01-31,0.6
2000-02-29,2000-01-01,2000-02-29,0.16
2000-03-31,2000-02-01,2000-03-31,-0.23
2000-04-30,2000-03-01,2000-04-30,0.44
2000-05-31,2000-04-01,2000-05-31,0.42
2000-06-30,2000-05-01,2000-06-30,-0.35
2000-07-31,2000-06-01,2000-07-31,0.13
2000-08-31,2000-07-01,2000-08-31,-0.29
2000-09-30,2000-08-01,2000-09-30,-0.36
2000-10-31,2000-09-01,2000-10-31,0.36
2000-11-30,2000-10-01,2000-11-30,-0.52
2000-12-31,2000-11-01,2000-12-31,-0.36
2001-01-31,2000-12-01,2001-01-31,-0.27
2001-02-28,2001-01-01,2001-02-28,-0.66
2001-03-31,2001-02-01,2001-03-31,-0.57
2001-04-30,2001-03-01,2001-04-30,-0.69
2001-05-31,2001-04-01,2001-05-31,-0.89
2001-06-30,2001-05-01,2001-06-30,-0.42
2001-07-31,2001-06-01,2001-07-31,-0.92
2001-08-31,2001-07-01,2001-08-31,-0.52
2001-09-30,2001-08-01,2001-09-30,-0.43
2001-10-31,2001-09-01,2001-10-31,-1.12
2001-11-30,2001-10-01,2001-11-30,-0.18
2001-12-31,2001-11-01,2001-12-31,-0.81
2002-01-31,2001-12-01,2002-01-31,-0.32
2002-02-28,2002-01-01,2002-02-28,-0.05
2002-03-31,2002-02-01,2002-03-31,-0.1
2002-04-30,2002-03-01,2002-04-30,-0.03
2002-05-31,2002-04-01,2002-05-31,0.16
2002-06-30,2002-05-01,2002-06-30,0.07
2002-07-31,2002-06-01,2002-07-31,0.3
2002-08-31,2002-07-01,2002-08-31,-0.27
2002-09-30,2002-08-01,2002-09-30,-0.07
2002-10-31,2002-09-01,2002-10-31,-0.34
2002-11-30,2002-10-01,2002-11-30,-0.35
2002-12-31,2002-11-01,2002-12-31,0.15
2003-01-31,2002-12-01,2003-01-31,-0.59
2003-02-28,2003-01-01,2003-02-28,0.39
2003-03-31,2003-02-01,2003-03-31,-0.46
2003-04-30,2003-03-01,2003-04-30,-0.18
2003-05-31,2003-04-01,2003-05-31,-0.63
2003-06-30,2003-05-01,2003-06-30,0.01
2003-07-31,2003-06-01,2003-07-31,0.14
2003-08-31,2003-07-01,2003-08-31,0.09
2003-09-30,2003-08-01,2003-09-30,-0.15
2003-10-31,2003-09-01,2003-10-31,0.35
2003-11-30,2003-10-01,2003-11-30,0.14
2003-12-31,2003-11-01,2003-12-31,0.48
2004-01-31,2003-12-01,2004-01-31,0.04
2004-02-29,2004-01-01,2004-02-29,0.05
2004-03-31,2004-02-01,2004-03-31,0.46
2004-04-30,2004-03-01,2004-04-30,0.54
2004-05-31,2004-04-01,2004-05-31,0.08
2004-06-30,2004-05-01,2004-06-30,0.55
2004-07-31,2004-06-01,2004-07-31,-0.28
2004-08-31,2004-07-01,2004-08-31,0.47
2004-09-30,2004-08-01,2004-09-30,0.29
2004-10-31,2004-09-01,2004-10-31,0.17
2004-11-30,2004-10-01,2004-11-30,0.43
2004-12-31,2004-11-01,2004-12-31,0.04
2005-01-31,2004-12-01,2005-01-31,0.85
2005-02-28,2005-01-01,2005-02-28,0.19
2005-03-31,2005-02-01,2005-03-31,0.4
2005-04-30,2005-03-01,2005-04-30,-0.28
2005-05-31,2005-04-01,2005-05-31,0.57
2005-06-30,2005-05-01,2005-06-30,-0.02
2005-07-31,2005-06-01,2005-07-31,0.41
2005-08-31,2005-07-01,2005-08-31,-0.05
2005-09-30,2005-08-01,2005-09-30,0.21
2005-10-31,2005-09-01,2005-10-31,-0.62
2005-11-30,2005-10-01,2005-11-30,0.65
2005-12-31,2005-11-01,2005-12-31,0.75
2006-01-31,2005-12-01,2006-01-31,0.33
2006-02-28,2006-01-01,2006-02-28,0.47
2006-03-31,2006-02-01,2006-03-31,0.1
2006-04-30,2006-03-01,2006-04-30,0.22
2006-05-31,2006-04-01,2006-05-31,-0.09
2006-06-30,2006-05-01,2006-06-30,0.02
2006-07-31,2006-06-01,2006-07-31,0.03
2006-08-31,2006-07-01,2006-08-31,-0.28
2006-09-30,2006-08-01,2006-09-30,0.18
2006-10-31,2006-09-01,2006-10-31,0.0
2006-11-30,2006-10-01,2006-11-30,-0.27
2006-12-31,2006-11-01,2006-12-31,-0.11
2007-01-31,2006-12-01,2007-01-31,0.77
2007-02-28,2007-01-01,2007-02-28,-0.48
2007-03-31,2007-02-01,2007-03-31,0.2
2007-04-30,2007-03-01,2007-04-30,0.24
2007-05-31,2007-04-01,2007-05-31,-0.1
2007-06-30,2007-05-01,2007-06-30,0.05
2007-07-31,2007-06-01,2007-07-31,-0.02
2007-08-31,2007-07-01,2007-08-31,-0.4
2007-09-30,2007-08-01,2007-09-30,-0.07
2007-10-31,2007-09-01,2007-10-31,-0.08
2007-11-30,2007-10-01,2007-11-30,-0.27
2007-12-31,2007-11-01,2007-12-31,-0.08
2008-01-31,2007-12-01,2008-01-31,-0.44
2008-02-29,2008-01-01,2008-02-29,-0.23
2008-03-31,2008-02-01,2008-03-31,-0.79
2008-04-30,2008-03-01,2008-04-30,-0.79
2008-05-31,2008-04-01,2008-05-31,-0.67
2008-06-30,2008-05-01,2008-06-30,-0.84
2008-07-31,2008-06-01,2008-07-31,-0.71
2008-08-31,2008-07-01,2008-08-31,-1.21
2008-09-30,2008-08-01,2008-09-30,-1.25
2008-10-31,2008-09-01,2008-10-31,-2.58
2008-11-30,2008-10-01,2008-11-30,-1.13
2008-12-31,2008-11-01,2008-12-31,-2.34
2009-01-31,2008-12-01,2009-01-31,-2.67
2009-02-28,2009-01-01,2009-02-28,-3.03
2009-03-31,2009-02-01,2009-03-31,-1.24
2009-04-30,2009-03-01,2009-04-30,-2.34
2009-05-31,2009-04-01,2009-05-31,-1.61
2009-06-30,2009-05-01,2009-06-30,-1.19
2009-07-31,2009-06-01,2009-07-31,-0.93
2009-08-31,2009-07-01,2009-08-31,0.14
2009-09-30,2009-08-01,2009-09-30,0.0
2009-10-31,2009-09-01,2009-10-31,-0.21
2009-11-30,2009-10-01,2009-11-30,-0.29
2009-12-31,2009-11-01,2009-12-31,0.06
2010-01-31,2009-12-01,2010-01-31,-0.28
2010-02-28,2010-01-01,2010-02-28,0.16
2010-03-31,2010-02-01,2010-03-31,-0.35
2010-04-30,2010-03-01,2010-04-30,0.48
2010-05-31,2010-04-01,2010-05-31,0.4
2010-06-30,2010-05-01,2010-06-30,0.3
2010-07-31,2010-06-01,2010-07-31,-0.17
2010-08-31,2010-07-01,2010-08-31,0.15
2010-09-30,2010-08-01,2010-09-30,-0.16
2010-10-31,2010-09-01,2010-10-31,-0.19
2010-11-30,2010-10-01,2010-11-30,-0.12
2010-12-31,2010-11-01,2010-12-31,-0.19
2011-01-31,2010-12-01,2011-01-31,0.09
2011-02-28,2011-01-01,2011-02-28,0.03
2011-03-31,2011-02-01,2011-03-31,-0.38
2011-04-30,2011-03-01,2011-04-30,0.41
2011-05-31,2011-04-01,2011-05-31,-0.48
2011-06-30,2011-05-01,2011-06-30,-0.34
2011-07-31,2011-06-01,2011-07-31,0.01
2011-08-31,2011-07-01,2011-08-31,0.17
2011-09-30,2011-08-01,2011-09-30,0.01
2011-10-31,2011-09-01,2011-10-31,-0.27
2011-11-30,2011-10-01,2011-11-30,0.16
2011-12-31,2011-11-01,2011-12-31,-0.35
2012-01-31,2011-12-01,2012-01-31,0.28
2012-02-29,2012-01-01,2012-02-29,0.36
2012-03-31,2012-02-01,2012-03-31,0.0
2012-04-30,2012-03-01,2012-04-30,-0.39
2012-05-31,2012-04-01,2012-05-31,0.06
2012-06-30,2012-05-01,2012-06-30,-0.17
2012-07-31,2012-06-01,2012-07-31,-0.32
2012-08-31,2012-07-01,2012-08-31,-0.28
2012-09-30,2012-08-01,2012-09-30,-0.45
2012-10-31,2012-09-01,2012-10-31,-0.11
2012-11-30,2012-10-01,2012-11-30,-0.26
2012-12-31,2012-11-01,2012-12-31,0.28
2013-01-31,2012-12-01,2013-01-31,0.14
2013-02-28,2013-01-01,2013-02-28,-0.33
2013-03-31,2013-02-01,2013-03-31,0.23
2013-04-30,2013-03-01,2013-04-30,-0.26
2013-05-31,2013-04-01,2013-05-31,-0.29
2013-06-30,2013-05-01,2013-06-30,0.14
2013-07-31,2013-06-01,2013-07-31,-0.14
2013-08-31,2013-07-01,2013-08-31,-0.52
2013-09-30,2013-08-01,2013-09-30,0.3
2013-10-31,2013-09-01,2013-10-31,0.1
2013-11-30,2013-10-01,2013-11-30,0.01
2013-12-31,2013-11-01,2013-12-31,0.3
2014-01-31,2013-12-01,2014-01-31,-0.15
2014-02-28,2014-01-01,2014-02-28,-0.7
2014-03-31,2014-02-01,2014-03-31,0.44
2014-04-30,2014-03-01,2014-04-30,0.48
2014-05-31,2014-04-01,2014-05-31,0.05
2014-06-30,2014-05-01,2014-06-30,0.12
2014-07-31,2014-06-01,2014-07-31,0.14
2014-08-31,2014-07-01,2014-08-31,0.3
2014-09-30,2014-08-01,2014-09-30,-0.23
2014-10-31,2014-09-01,2014-10-31,0.01
2014-11-30,2014-10-01,2014-11-30,0.04
2014-12-31,2014-11-01,2014-12-31,0.27
2015-01-31,2014-12-01,2015-01-31,0.06
2015-02-28,2015-01-01,2015-02-28,-0.26
2015-03-31,2015-02-01,2015-03-31,-0.48
2015-04-30,2015-03-01,2015-04-30,0.01
2015-05-31,2015-04-01,2015-05-31,-0.01
2015-06-30,2015-05-01,2015-06-30,-0.34
2015-07-31,2015-06-01,2015-07-31,-0.14
2015-08-31,2015-07-01,2015-08-31,0.35
2015-09-30,2015-08-01,2015-09-30,-0.28
2015-10-31,2015-09-01,2015-10-31,-0.12
2015-11-30,2015-10-01,2015-11-30,-0.26
2015-12-31,2015-11-01,2015-12-31,-0.36
2016-01-31,2015-12-01,2016-01-31,-0.3
2016-02-29,2016-01-01,2016-02-29,0.09
2016-03-31,2016-02-01,2016-03-31,-0.23
2016-04-30,2016-03-01,2016-04-30,-0.33
2016-05-31,2016-04-01,2016-05-31,-0.1
2016-06-30,2016-05-01,2016-06-30,-0.35
2016-07-31,2016-06-01,2016-07-31,0.13
2016-08-31,2016-07-01,2016-08-31,0.05
2016-09-30,2016-08-01,2016-09-30,-0.22
2016-10-31,2016-09-01,2016-10-31,-0.09
2016-11-30,2016-10-01,2016-11-30,-0.07
2016-12-31,2016-11-01,2016-12-31,-0.22
2017-01-31,2016-12-01,2017-01-31,0.39
2017-02-28,2017-01-01,2017-02-28,-0.12
2017-03-31,2017-02-01,2017-03-31,-0.09
2017-04-30,2017-03-01,2017-04-30,0.02
2017-05-31,2017-04-01,2017-05-31,0.34
2017-06-30,2017-05-01,2017-06-30,0.02
2017-07-31,2017-06-01,2017-07-31,0.16
2017-08-31,2017-07-01,2017-08-31,-0.16
2017-09-30,2017-08-01,2017-09-30,0.01
2017-10-31,2017-09-01,2017-10-31,0.18
2017-11-30,2017-10-01,2017-11-30,0.54
2017-12-31,2017-11-01,2017-12-31,0.23
2018-01-31,2017-12-01,2018-01-31,0.2
2018-02-28,2018-01-01,2018-02-28,-0.23
2018-03-31,2018-02-01,2018-03-31,0.47
2018-04-30,2018-03-01,2018-04-30,0.1
2018-05-31,2018-04-01,2018-05-31,0.39
2018-06-30,2018-05-01,2018-06-30,-0.14
2018-07-31,2018-06-01,2018-07-31,0.21
2018-08-31,2018-07-01,2018-08-31,0.05
2018-09-30,2018-08-01,2018-09-30,0.3
2018-10-31,2018-09-01,2018-10-31,0.02
2018-11-30,2018-10-01,2018-11-30,-0.21
2018-12-31,2018-11-01,2018-12-31,0.01
2019-01-31,2018-12-01,2019-01-31,-0.13
2019-02-28,2019-01-01,2019-02-28,-0.36
2019-03-31,2019-02-01,2019-03-31,-0.41
2019-04-30,2019-03-01,2019-04-30,-0.1
2019-05-31,2019-04-01,2019-05-31,-0.51
2019-06-30,2019-05-01,2019-06-30,0.02
2019-07-31,2019-06-01,2019-07-31,0.04
2019-08-31,2019-07-01,2019-08-31,-0.36
2019-09-30,2019-08-01,2019-09-30,0.17
2019-10-31,2019-09-01,2019-10-31,-0.43
2019-11-30,2019-10-01,2019-11-30,-0.78
2019-12-31,2019-11-01,2019-12-31,0.2
2020-01-31,2019-12-01,2020-01-31,-0.35
2020-02-29,2020-01-01,2020-02-29,-0.25
2020-03-31,2020-02-01,2020-03-31,0.07
2020-04-30,2020-03-01,2020-04-30,-4.37
2020-05-31,2020-04-01,2020-05-31,-18.27
2020-06-30,2020-05-01,2020-06-30,4.75
2020-07-31,2020-06-01,2020-07-31,6.31
2020-08-31,2020-07-01,2020-08-31,2.64
2020-09-30,2020-08-01,2020-09-30,1.26
2020-10-31,2020-09-01,2020-10-31,0.5
2020-11-30,2020-10-01,2020-11-30,1.01
2020-12-31,2020-11-01,2020-12-31,0.28
2021-01-31,2020-12-01,2021-01-31,0.68
2021-02-28,2021-01-01,2021-02-28,0.86
2021-03-31,2021-02-01,2021-03-31,-1.84
2021-04-30,2021-03-01,2021-04-30,2.4
2021-05-31,2021-04-01,2021-05-31,0.12
2021-06-30,2021-05-01,2021-06-30,0.22
2021-07-31,2021-06-01,2021-07-31,0.33
2021-08-31,2021-07-01,2021-08-31,0.75
2021-09-30,2021-08-01,2021-09-30,-0.04
2021-10-31,2021-09-01,2021-10-31,-0.14
2021-11-30,2021-10-01,2021-11-30,0.93
2021-12-31,2021-11-01,2021-12-31,0.65
2022-01-31,2021-12-01,2022-01-31,0.17
2022-02-28,2022-01-01,2022-02-28,-0.04
2022-03-31,2022-02-01,2022-03-31,0.39
2022-04-30,2022-03-01,2022-04-30,0.42
2022-05-31,2022-04-01,2022-05-31,0.0
2022-06-30,2022-05-01,2022-06-30,-0.42
2022-07-31,2022-06-01,2022-07-31,-0.25
2022-08-31,2022-07-01,2022-08-31,0.2
2022-09-30,2022-08-01,2022-09-30,0.04
2022-10-31,2022-09-01,2022-10-31,0.0
2022-11-30,2022-10-01,2022-11-30,0.04
2022-12-31,2022-11-01,2022-12-31,-0.6
2023-01-31,2022-12-01,2023-01-31,-0.46
2023-02-28,2023-01-01,2023-02-28,0.56
2023-03-31,2023-02-01,2023-03-31,-0.43
2023-04-30,2023-03-01,2023-04-30,-0.41
2023-05-31,2023-04-01,2023-05-31,0.04
2023-06-30,2023-05-01,2023-06-30,-0.18
2023-07-31,2023-06-01,2023-07-31,-0.41
2023-08-31,2023-07-01,2023-08-31,0.13
2023-09-30,2023-08-01,2023-09-30,-0.17
2023-10-31,2023-09-01,2023-10-31,-0.03
2023-11-30,2023-10-01,2023-11-30,-0.51
2023-12-31,2023-11-01,2023-12-31,0.14
2024-01-31,2023-12-01,2024-01-31,-0.12
2024-02-29,2024-01-01,2024-02-29,-0.99
2024-03-31,2024-02-01,2024-03-31,0.26
2024-04-30,2024-03-01,2024-04-30,-0.13
2024-05-31,2024-04-01,2024-05-31,-0.37
2024-06-30,2024-05-01,2024-06-30,0.15
2024-07-31,2024-06-01,2024-07-31,-0.22
2024-08-31,2024-07-01,2024-08-31,-0.39
2024-09-30,2024-08-01,2024-09-30,-0.08
2024-10-31,2024-09-01,2024-10-31,-0.29
2024-11-30,2024-10-01,2024-11-30,-0.56
2024-12-31,2024-11-01,2024-12-31,-0.06
2025-01-31,2024-12-01,2025-01-31,0.33
2025-02-28,2025-01-01,2025-02-28,-0.5
2025-03-31,2025-02-01,2025-03-31,0.39
2025-04-30,2025-03-01,2025-04-30,0.15
2025-05-31,2025-04-01,2025-05-31,-0.36
2025-06-30,2025-05-01,2025-06-30,-0.29
2025-07-31,2025-06-01,2025-07-31,-0.07
2025-08-31,2025-07-01,2025-08-31,0.01
2025-09-30,2025-08-01,2025-09-30,-0.36
2025-10-31,2025-09-01,2025-10-31,-0.31
2025-11-30,2025-10-01,2025-11-30,-0.51
2025-12-31,2025-11-01,2025-12-31,-0.13
2026-01-31,2025-12-01,2026-01-31,-0.12
2026-02-28,2026-01-01,2026-02-28,0.2
2026-03-31,2026-02-01,2026-03-31,-0.11
2026-04-30,2026-02-01,2026-03-31,-0.11
