event_id,focal,event_date,sector,event_type,peers,source_note
wfc_2016,WFC,2016-09-08,banks,regulator_settlement,JPM;BAC;C;USB;PNC;TFC,CFPB/OCC $185M fake-accounts settlement announced 2016-09-08
gs_1mdb_2018,GS,2018-11-01,banks,doj_charge,JPM;MS;BAC;C,DOJ unsealed 1MDB criminal charges implicating GS bankers Nov 2018
jpm_whale_2012,JPM,2012-05-10,banks,disclosure_then_enforcement,BAC;C;GS;MS;WFC,London Whale ~$2B loss disclosed 2012-05-10 later SEC/OCC enforcement
vrx_2015,VRX,2015-10-21,pharma,short_report_then_probe,TEVA;ENDP;PRGO;VTRS;MRK,Citron Enron-of-pharma Philidor 2015-10-21 SEC/DOJ probes followed
clov_2021,CLOV,2021-02-04,health_insurers,short_report_doj_inquiry,UNH;HUM;CNC;ELV,Hindenburg report plus disclosed DOJ inquiry 2021-02-04
mat_2019,MAT,2019-08-08,consumer_toys,whistleblower_accounting,HAS;FNKO;JAKK,Whistleblower letter alleging accounting errors surfaced 2019-08-08
ge_2019,GE,2019-08-15,industrials,fraud_allegation_report,HON;MMM;EMR;ETN;ROK,Markopolos report bigger-than-Enron 2019-08-15 SEC probe ongoing
ba_doj_2021,BA,2021-01-07,aerospace,doj_settlement,RTX;LMT;GD;NOC;HON,DOJ $2.5B deferred-prosecution fraud settlement 2021-01-07
tyc_2002,TYC,2002-06-03,industrials,indictment,HON;MMM;EMR;GE,Kozlowski Tyco CEO indicted early June 2002 accounting fraud
khc_2019,KHC,2019-02-21,food_staples,writedown_sec_subpoena,GIS;K;CAG;CPB;MDLZ;HSY,$15.4B writedown plus SEC subpoena disclosed 2019-02-21
dmnd_2011,DMND,2011-11-01,food_staples,accounting_investigation,GIS;K;CAG;CPB;HSY,Diamond Foods walnut-grower payment accounting probe Nov 2011
uaa_2019,UAA,2019-11-04,apparel,doj_sec_probe,NKE;LULU;VFC;PVH;RL,WSJ DOJ/SEC accounting probe disclosed 2019-11-04
hlf_2012,HLF,2012-12-20,mlm_consumer,short_report,NUS;USNA;TUP,Ackman 300-slide fraud/pyramid presentation 2012-12-19/20
nkla_2020,NKLA,2020-09-10,ev_hydrogen,short_report_then_doj,TSLA;PLUG;BLDP;FCEL,Hindenburg fraud report 2020-09-10 DOJ charged founder Milton
ride_2021,RIDE,2021-03-12,ev,short_report_sec,TSLA;NKLA;WKHS;PLUG;FSR,Hindenburg report 2021-03-12 SEC investigation followed
tsla_sec_2018,TSLA,2018-09-27,auto,sec_charge,F;GM;TM;HMC,SEC charged Musk securities fraud funding-secured 2018-09-27
smci_2024,SMCI,2024-08-27,tech_hardware,short_report_late_filing,DELL;HPE;ANET;NTAP;WDC,Hindenburg report plus delayed 10-K 2024-08-27
sq_2023,SQ,2023-03-23,fintech,short_report,PYPL;AFRM;COIN;GPN;FIS,Hindenburg report on Block 2023-03-23
fe_2020,FE,2020-07-21,utilities,doj_bribery,AEP;D;DUK;SO;EXC,Ohio HB6 bribery DOJ complaint implicating FirstEnergy 2020-07-21
ene_2001,ENE,2001-10-16,energy_utilities,disclosure_then_fraud,DUK;SO;AEP;D;EXC,Enron Q3 surprise SPE disclosures 2001-10-16 collapse followed
wcom_2002,WCOM,2002-06-25,telecom,accounting_fraud_disclosure,T;VZ,WorldCom $3.8B accounting fraud disclosed 2002-06-25
lk_2020,LK,2020-04-02,china_adr,fraud_admission,BABA;JD;BIDU;PDD,Luckin disclosed ~$310M fabricated sales 2020-04-02
vwagy_2015,VWAGY,2015-09-18,auto,epa_doj,F;GM;TM;HMC;BMWYY,EPA notice of violation dieselgate 2015-09-18 DOJ fraud settlement later
pbr_2014,PBR,2014-11-14,energy,corruption_probe,XOM;CVX;COP;TTE,Operation Car Wash Petrobras corruption disclosures Nov 2014
wdi_2020,WDI,2020-06-18,payments,accounting_fraud_insolvency,PYPL;MA;V;FI;GPN,Wirecard EUR1.9B missing insolvency filing 2020-06-18 contagion to payments
cgi_2019,CGI,2019-12-05,trucking,doj_sec_charge,ODFL;JBHT;KNX;WERN;SNDR,Celadon DOJ/SEC accounting fraud charges 2019-12-05
archegos_2021,ARCHEGOS,2021-03-26,prime_brokers,forced_liquidation_then_doj,MS;GS;NMR;DB;CS,Archegos forced liquidation late March 2021 DOJ charged Hwang later
ftx_2022,FTX,2022-11-08,crypto,collapse_then_doj,COIN;MSTR;MARA;RIOT;HOOD,FTX liquidity collapse 2022-11-08 DOJ charged SBF fraud
