observation_date,VIXCLS
2020-08-03,24.28
2020-08-04,23.76
2020-08-05,22.99
2020-08-06,22.65
2020-08-07,22.21
2020-08-10,22.13
2020-08-11,24.03
2020-08-12,22.28
2020-08-13,22.13
2020-08-14,22.05
2020-08-17,21.35
2020-08-18,21.51
2020-08-19,22.54
2020-08-20,22.72
2020-08-21,22.54
2020-08-24,22.37
2020-08-25,22.03
2020-08-26,23.27
2020-08-27,24.47
2020-08-28,22.96
2020-08-31,26.41
2020-09-01,26.12
2020-09-02,26.57
2020-09-03,33.60
2020-09-04,30.75
2020-09-07,
2020-09-08,31.46
2020-09-09,28.81
2020-09-10,29.71
2020-09-11,26.87
2020-09-14,25.85
2020-09-15,25.59
2020-09-16,26.04
2020-09-17,26.46
2020-09-18,25.83
2020-09-21,27.78
2020-09-22,26.86
2020-09-23,28.58
2020-09-24,28.51
2020-09-25,26.38
2020-09-28,26.19
2020-09-29,26.27
2020-09-30,26.37
2020-10-01,26.70
2020-10-02,27.63
2020-10-05,27.96
2020-10-06,29.48
2020-10-07,28.06
2020-10-08,26.36
2020-10-09,25.00
2020-10-12,25.07
2020-10-13,26.07
2020-10-14,26.40
2020-10-15,26.97
2020-10-16,27.41
2020-10-19,29.18
2020-10-20,29.35
2020-10-21,28.65
2020-10-22,28.11
2020-10-23,27.55
2020-10-26,32.46
2020-10-27,33.35
2020-10-28,40.28
2020-10-29,37.59
2020-10-30,38.02
2020-11-02,37.13
2020-11-03,35.55
2020-11-04,29.57
2020-11-05,27.58
2020-11-06,24.86
2020-11-09,25.75
2020-11-10,24.80
2020-11-11,23.45
2020-11-12,25.35
2020-11-13,23.10
2020-11-16,22.45
2020-11-17,22.71
2020-11-18,23.84
2020-11-19,23.11
2020-11-20,23.70
2020-11-23,22.66
2020-11-24,21.64
2020-11-25,21.25
2020-11-26,
2020-11-27,20.84
2020-11-30,20.57
2020-12-01,20.77
2020-12-02,21.17
2020-12-03,21.28
2020-12-04,20.79
2020-12-07,21.30
2020-12-08,20.68
2020-12-09,22.27
2020-12-10,22.52
2020-12-11,23.31
2020-12-14,24.72
2020-12-15,22.89
2020-12-16,22.50
2020-12-17,21.93
2020-12-18,21.57
2020-12-21,25.16
2020-12-22,24.23
2020-12-23,23.31
2020-12-24,21.53
2020-12-25,
2020-12-28,21.70
2020-12-29,23.08
2020-12-30,22.77
2020-12-31,22.75
