location,claim_type,paper_value,json_value,source_k,status,notes
Abstract,N days,3262,3262,K811v2,OK,data.n_days
Abstract,N years,12.94,12.94,K811v2,OK,data.n_years
Abstract,Opp cost share S1,91%,90.7%,K811v2,OK,4.195/4.623*100
Abstract,S1 opp cost,4.20%,4.195%,K811v2,OK,insurance_cost_decomposed
Abstract,S1 direct cost,0.43%,0.428%,K811v2,OK,insurance_cost_decomposed
Abstract,VoV cost reduction,74%,73.7%,K811v2,OK,(4.623-1.218)/4.623*100
Abstract,VoV total from,4.62%,4.623%,K811v2,OK,insurance_cost_decomposed S1 total
Abstract,VoV total to,1.22%,1.218%,K811v2,OK,insurance_cost_decomposed S2 total
Abstract,Rebal premium,54 bps,53.67 bps,K846,OK,part1_empirical.premium_cagr_bps
Abstract,S2 Sharpe,0.63,0.6335,K811v2,OK,full_period_metrics S2
Abstract,S4 50/50 Sharpe,0.50,0.5013,K811v2,OK,full_period_metrics S4
Table1 S0,CAGR,12.51%,12.506%,K811v2,OK,full_period_metrics.S0_BH_SPY.cagr
Table1 S0,Ann Vol,16.56%,16.555%,K811v2,OK,full_period_metrics.S0_BH_SPY.ann_vol
Table1 S0,Sharpe,0.60,0.5984,K811v2,OK,full_period_metrics.S0_BH_SPY.sharpe
Table1 S0,MDD,-34.10%,-34.1%,K811v2,OK,full_period_metrics.S0_BH_SPY.mdd
Table1 S0,Calmar,0.37,0.3667,K811v2,OK,full_period_metrics.S0_BH_SPY.calmar
Table1 S0,Sortino,0.55,0.5521,K811v2,OK,full_period_metrics.S0_BH_SPY.sortino
Table1 S0,CRRA g5,0.217,0.217344,K811v2,OK,full_period_metrics.S0_BH_SPY.crra_gamma5
Table1 S0,Avg Weight,100.0%,100.0%,K811v2,OK,implicit (BH always 100%)
Table1 S0,Turnover,0.0%,0.0%,K811v2,OK,implicit (BH no rebalancing)
Table1 S1,CAGR,7.11%,7.111%,K811v2,OK,full_period_metrics.S1_Always_12VIX.cagr
Table1 S1,Ann Vol,9.33%,9.325%,K811v2,OK (ROUND_HALF_UP),paper uses ROUND_HALF_UP vs banker's rounding
Table1 S1,Sharpe,0.54,0.5353,K811v2,OK,full_period_metrics.S1_Always_12VIX.sharpe
Table1 S1,MDD,-15.46%,-15.46%,K811v2,OK,full_period_metrics.S1_Always_12VIX.mdd
Table1 S1,Calmar,0.46,0.46,K811v2,OK,full_period_metrics.S1_Always_12VIX.calmar
Table1 S1,Sortino,0.49,0.4927,K811v2,OK,full_period_metrics.S1_Always_12VIX.sortino
Table1 S1,CRRA g5,0.190,0.190029,K811v2,OK,full_period_metrics.S1_Always_12VIX.crra_gamma5
Table1 S1,Avg Weight,74.1%,74.07%,K811v2,OK,weight_stats.S1_Always_12VIX.avg_weight_pct
Table1 S1,Turnover,872.4%,872.37%,K811v2,OK,weight_stats.S1_Always_12VIX.annualized_turnover_pct
Table1 S2,CAGR,11.14%,11.144%,K811v2,OK,full_period_metrics.S2_VoV_Conditional.cagr
Table1 S2,Ann Vol,13.72%,13.715%,K811v2,OK (ROUND_HALF_UP),paper uses ROUND_HALF_UP vs banker's rounding
Table1 S2,Sharpe,0.63,0.6335,K811v2,OK,full_period_metrics.S2_VoV_Conditional.sharpe
Table1 S2,MDD,-22.78%,-22.78%,K811v2,OK,full_period_metrics.S2_VoV_Conditional.mdd
Table1 S2,Calmar,0.49,0.4893,K811v2,OK,full_period_metrics.S2_VoV_Conditional.calmar
Table1 S2,Sortino,0.61,0.6054,K811v2,OK,full_period_metrics.S2_VoV_Conditional.sortino
Table1 S2,CRRA g5,0.211,0.211147,K811v2,OK,full_period_metrics.S2_VoV_Conditional.crra_gamma5
Table1 S2,Avg Weight,93.4%,93.41%,K811v2,OK,weight_stats.S2_VoV_Conditional.avg_weight_pct
Table1 S2,Turnover,1044.7%,1044.74%,K811v2,OK,weight_stats.S2_VoV_Conditional.annualized_turnover_pct
Table1 S3,CAGR,8.84%,8.842%,K811v2,OK,full_period_metrics.S3_Smooth_VoV.cagr
Table1 S3,Ann Vol,11.57%,11.572%,K811v2,OK,full_period_metrics.S3_Smooth_VoV.ann_vol
Table1 S3,Sharpe,0.57,0.5699,K811v2,OK,full_period_metrics.S3_Smooth_VoV.sharpe
