date,event_type,source_note,source_class
2019-01-09,MSR_operational_start,EU MSR removes ~265Mt EUA from 2019 auction volume,OTHER
2020-03-23,covid_auction_volatility,EUA auctions continued but with abnormal demand,OTHER
2020-04-08,covid_low_clearing_period,Multiple auctions reported low demand cover ratios,OTHER
2021-07-14,fit_for_55_package,EU Fit-for-55 announced; ETS Phase IV reform,EU_ETS
2021-09-21,energy_crisis_auction_stress,EU energy crisis; auction demand cover ratio drop,OTHER
2021-12-21,esma_review_position_limits,ESMA review of EU ETS speculative positions,EU_ETS
2022-02-24,russia_ukraine_auction_impact,EUA price plunge; auction demand uncertainty,OTHER
2022-05-18,repower_eu_auction_frontload,REPowerEU 250M EUA additional auction,EU_ETS
2022-12-19,ets2_political_agreement,EU ETS reform political agreement / ETS2 scope,EU_ETS
2023-04-25,ets_revision_published,Revised EU ETS Directive published OJ,EU_ETS
2023-09-15,msr_intake_rate_change,MSR intake rate adjustment communicated,EU_ETS
2024-02-15,auction_calendar_2024,EEX 2024 auction calendar published; volume change,EU_ETS
2024-05-15,uk_eta_uk_ets_divergence,UK ETS supply cap reduction announced,EU_ETS
2024-09-12,msr_2024_release,Annual MSR figure release; supply impact,EU_ETS
2025-02-14,auction_calendar_2025,EEX 2025 auction calendar; KRBN re-balance,EU_ETS
2025-05-15,carbon_market_review_2025,Carbon market 2024 report published,EU_ETS
2025-09-12,msr_2025_release,Annual MSR figure release 2025,EU_ETS
2022-08-17,cca_q2_2022_auction_clearing,CARB auction settlement (Q2 quarterly),CCA
2023-02-15,cca_q1_2023_auction,CARB Q1 quarterly auction settlement,CCA
2023-05-17,cca_q2_2023_auction,CARB Q2 quarterly auction settlement,CCA
2024-02-21,cca_q1_2024_auction,CARB Q1 quarterly auction settlement,CCA
2024-05-15,cca_q2_2024_auction,CARB Q2 quarterly auction settlement,CCA
2023-03-08,rggi_61st_auction,RGGI 61st quarterly auction settlement,RGGI
2023-09-06,rggi_63rd_auction,RGGI 63rd quarterly auction settlement,RGGI
2024-03-06,rggi_65th_auction,RGGI 65th quarterly auction settlement,RGGI
