batch_id,issuer,fund,ticker,proxy,category,conversion_date,listing_date,source,horizon,underlying_log_rv_ratio
guinness_20210326,Guinness Atkinson / SmartETFs,Guinness Atkinson Dividend Builder Fund,DIVS,VIG,dividend_equity,2021-03-26,2021-03-26,Business Wire 2021-03-02,5,-0.4956563213074013
guinness_20210326,Guinness Atkinson / SmartETFs,Guinness Atkinson Dividend Builder Fund,DIVS,VIG,dividend_equity,2021-03-26,2021-03-26,Business Wire 2021-03-02,22,-0.9264788955611898
guinness_20210326,Guinness Atkinson / SmartETFs,Guinness Atkinson Asia Pacific Dividend Builder Fund,ADIV,AAXJ,asia_pacific_equity,2021-03-26,2021-03-26,Business Wire 2021-03-02,5,-1.9545134092303555
guinness_20210326,Guinness Atkinson / SmartETFs,Guinness Atkinson Asia Pacific Dividend Builder Fund,ADIV,AAXJ,asia_pacific_equity,2021-03-26,2021-03-26,Business Wire 2021-03-02,22,-1.555862649144108
dimensional_20210614,Dimensional,DFA Tax-Managed US Equity Portfolio,DFUS,VTI,us_total_equity,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,5,0.044122283182096954
dimensional_20210614,Dimensional,DFA Tax-Managed US Equity Portfolio,DFUS,VTI,us_total_equity,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,22,-0.6758377198071276
dimensional_20210614,Dimensional,DFA T.A. US Core Equity 2 Portfolio,DFAC,IWB,us_core_equity,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,5,0.18430808210263208
dimensional_20210614,Dimensional,DFA T.A. US Core Equity 2 Portfolio,DFAC,IWB,us_core_equity,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,22,-0.5940129551356476
dimensional_20210614,Dimensional,DFA Tax-Managed US Small Cap Portfolio,DFAS,IWM,us_small_cap,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,5,-0.02534329536984031
dimensional_20210614,Dimensional,DFA Tax-Managed US Small Cap Portfolio,DFAS,IWM,us_small_cap,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,22,-0.4973449925960781
dimensional_20210614,Dimensional,DFA Tax-Managed US Targeted Value Portfolio,DFAT,IWN,us_small_value,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,5,0.5740200819440239
dimensional_20210614,Dimensional,DFA Tax-Managed US Targeted Value Portfolio,DFAT,IWN,us_small_value,2021-06-11,2021-06-14,Dimensional 2021-06-14 / SEC 497,22,-0.14156292993217132
jpm_20220411,J.P. Morgan Asset Management,JPMorgan Inflation Managed Bond Fund,JCPI,TIP,inflation_bond,2022-04-08,2022-04-11,Morningstar / J.P. Morgan conversion list,5,-1.9080465070287775
jpm_20220411,J.P. Morgan Asset Management,JPMorgan Inflation Managed Bond Fund,JCPI,TIP,inflation_bond,2022-04-08,2022-04-11,Morningstar / J.P. Morgan conversion list,22,-0.016347403120581517
jpm_20220509,J.P. Morgan Asset Management,JPMorgan Market Expansion Enhanced Index Fund,JMEE,IWM,us_extended_market,2022-05-06,2022-05-09,Morningstar / J.P. Morgan conversion list,5,0.26761507466847984
jpm_20220509,J.P. Morgan Asset Management,JPMorgan Market Expansion Enhanced Index Fund,JMEE,IWM,us_extended_market,2022-05-06,2022-05-09,Morningstar / J.P. Morgan conversion list,22,0.25092598263332455
jpm_20220523,J.P. Morgan Asset Management,JPMorgan Realty Income Fund,JPRE,VNQ,real_estate,2022-05-20,2022-05-23,Morningstar / J.P. Morgan conversion list,5,-0.05808743706232435
jpm_20220523,J.P. Morgan Asset Management,JPMorgan Realty Income Fund,JPRE,VNQ,real_estate,2022-05-20,2022-05-23,Morningstar / J.P. Morgan conversion list,22,0.5927085553366968
jpm_20220613,J.P. Morgan Asset Management,JPMorgan International Research Enhanced Equity Fund,JIRE,EFA,international_equity,2022-06-10,2022-06-13,Morningstar / J.P. Morgan conversion list,5,0.3165372900364075
jpm_20220613,J.P. Morgan Asset Management,JPMorgan International Research Enhanced Equity Fund,JIRE,EFA,international_equity,2022-06-10,2022-06-13,Morningstar / J.P. Morgan conversion list,22,-0.039755713300914416
