code,ticker,name,sector,foundry,fabless,marketCap,log_mktcap,beta_info,beta_rolling_0050,avg_volume,log_volume,price_level,earnings_cv,holdout
2330,2330.TW,TSMC,Tech_Foundry,1,0,51216734224384.0,31.56708743489335,1.251,1.1312499667485048,32465537.0,17.295689684678116,1975.0,0.15177667438915438,False
2317,2317.TW,Hon Hai,Tech_EMS,0,0,2799529099264.0,28.660472340131776,0.653,0.8915549896203208,47683951.0,17.680105442221144,200.5,0.1292055889301308,False
2454,2454.TW,MediaTek,Tech_Fabless,0,1,2601659662336.0,28.587170688976677,1.152,1.0744893198098298,8409853.0,15.94491455260493,1630.0,0.10474642789047435,False
2308,2308.TW,Delta,Tech_Other,0,0,4519725367296.0,29.13947234847897,1.098,0.8852777641712143,11918081.0,16.293567216708322,1740.0,0.31317464027050546,False
2881,2881.TW,Fubon FH,Financial,0,0,1220041375744.0,27.82990588864289,0.675,0.7595485148862253,15916594.0,16.582872770767455,87.1,0.40708617867188274,False
2882,2882.TW,Cathay FH,Financial,0,0,1056183091200.0,27.68568266800191,,0.7737613802329485,21503388.0,16.883721062078596,72.0,0.5005662436051954,False
2891,2891.TW,CTBC FH,Financial,0,0,1058666512384.0,27.68803122491232,0.638,0.6941951163554408,48160243.0,17.690044404633174,53.8,0.2339832467537944,False
2303,2303.TW,UMC,Tech_Foundry,1,0,757806989312.0,27.35369455865016,1.011,0.904856100478001,93437466.0,18.352802957669613,60.2,0.26593923085654103,False
2412,2412.TW,Chunghwa Tel,Telecom,0,0,1047255318528.0,27.677193875326427,0.11,0.18467684031040912,8170711.0,15.916066488753463,135.0,0.04825168167325402,False
3711,3711.TW,ASE,Tech_Packaging,0,0,1844340457472.0,28.243142853886464,1.183,1.0255199623209519,19040528.0,16.76208031803543,421.0,0.2772525521223042,True
1301,1301.TW,Formosa Plastic,Traditional,0,0,324016242688.0,26.504059483235274,0.495,0.6371649395514106,29916370.0,17.213916380180844,50.9,1.48011213457765,False
1303,1303.TW,Nan Ya Plastic,Traditional,0,0,677292212224.0,27.241368644834516,0.683,0.7055657628280576,94241393.0,18.361370059167474,85.4,3.5755089871019012,False
2002,2002.TW,China Steel,Traditional,0,0,308701790208.0,26.455641567621385,0.664,0.5008041065911538,48043135.0,17.687609811165075,20.15,1.4704545668274078,False
2886,2886.TW,Mega FH,Financial,0,0,584916729856.0,27.09473533192017,0.457,0.5724159374834957,26415929.0,17.089477757373444,39.3,0.25593450825928354,False
2884,2884.TW,E.Sun FH,Financial,0,0,519994114048.0,26.97708332931936,0.437,0.5925588878116947,23037910.0,16.952651677871845,32.15,0.20342099554184223,False
3008,3008.TW,LARGAN,Tech_Optical,0,0,317839638528.0,26.48481281117549,0.832,1.113611931980824,534753.0,13.189560237027091,2430.0,0.486097606005707,False
2357,2357.TW,Asus,Tech_PC,0,0,429315424256.0,26.78545774038312,0.536,0.6411398724907588,3053642.0,14.931845534575839,578.0,0.4752958424898042,False
2382,2382.TW,Quanta,Tech_PC,0,0,1231518564352.0,27.83926912897885,0.659,0.7847087815062032,23215255.0,16.96032016365324,319.5,0.14559201858449633,False
2379,2379.TW,Realtek,Tech_Fabless,0,1,270128283648.0,26.322162807731043,0.688,0.9535863564476776,2671923.0,14.798308995858175,524.0,0.2135426742401433,False
2395,2395.TW,Advantech,Tech_Indust,0,0,294815105024.0,26.409614234157917,0.512,0.6931706366510277,2464840.0,14.717637454630156,340.5,0.1699851609448256,False
2408,2408.TW,Nanya Tech,Tech_Memory,0,0,690994020352.0,27.26139700706159,1.865,0.9069068142516551,116972831.0,18.577452252121045,223.0,15.259444715473927,False
3034,3034.TW,Novatek,Tech_Fabless,0,1,240362242048.0,26.20541296424349,0.686,0.890911894413611,4349710.0,15.28561973417588,395.0,0.1727500260492633,False
3035,3035.TW,Phison,Tech_Fabless,0,1,38952271872.0,24.385602935469738,0.935,1.0057655659746612,1939086.0,14.47772728600039,149.5,0.5474192179413532,False
6505,6505.TW,FPCC,Petrochem,0,0,520117387264.0,26.977320367783836,0.277,0.6898970560529883,17755130.0,16.69218504621368,54.6,52.148794597753096,False
