symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates
CPRT,0.04459104077,1229849,319,2
CPRX,0.0135775397701,13125440,606,2
CPS,0.156229202361,13289237,2516,21
CPSH,0.0631455268031,3716749,120,2
CPSI,0.0489328885236,19418491,2950,21
CPSS,0.0469940926568,5877820,1578,21
CPST,0.0468076868743,896164,253,2
CPTA,0.0377311944825,17666044,2626,21
CQH,0.111486467321,689856,150,2
CQP,0.0556405106209,1573496,306,2
CR,0.228357768685,345097,200,2
CRAI,0.176822050943,39080293,1769,21
CRAY,0.0337246934076,27014206,3309,21
CRBP,0.0296626411683,70675936,5883,21
CRCM,0.0458490662732,2312293,1535,21
CRD A,0.060013822329,2074115,837,21
CRD B,0.0836679857448,2207754,1181,21
CREE,0.0466266550688,1082961,396,2
CRHM,0.0210510002919,2243895,785,21
CRIS,0.0231144228488,442527,250,2
CRL,0.0994431492876,363714,238,2
CRMD,0.0230659539263,1238319,286,2
CRME,0.0339602192784,2923680,1301,21
CRMT,0.172129727633,9692346,1808,21
CRNT,0.0112558304329,2293346,318,2
CROX,0.0237601468174,7769244,2432,21
CRR,0.0251471869746,13987165,3487,21
CRS,0.0764492393609,17380581,2667,21
CRT,0.227537716125,2907698,1410,21
CRTN,0.0467268647078,260148,100,2
CRVL,0.351519059045,12846866,1499,21
CRWS,0.111597418433,722933,587,21
CRY,0.0296900518755,13007105,3040,21
CSAL,0.0155868731831,12490271,654,2
CSBK,0.0499494911569,1146031,976,21
CSBR,0.0840805937285,4407065,300,2
CSFL,0.0355957297567,11023002,1685,21
CSGS,0.0807454164164,4202956,1699,21
CSH,0.0563994798246,1340125,193,1
CSII,0.0461374523848,10952384,2570,21
CSLT,0.0145486668913,7759945,2152,21
CSOD,0.0626317556174,23608960,3052,21
CSPI,0.146719339703,11649248,1488,21
CSRA,0.0130030513451,1568718,308,2
CSS,0.197676618601,1736021,1039,21
CST,0.0198290022807,2181325,387,2
CSTE,0.0915394238077,24314034,2634,21
CSTM,0.0129725354107,18769831,2617,21
CSU,0.0366537931346,6060502,2015,21
CSV,0.050708074808,2780933,1389,21
CSWC,0.114853937414,5799618,1000,21
CSWI,0.110625945893,9363528,1652,21
CTB,0.0383061392757,6074267,2993,21
CTBI,0.169734357492,3517067,1124,21
CTG,0.032260329487,2967340,968,21
CTIB,0.25082709839,453300,261,21
CTLT,0.0330719064891,604079,278,2
CTMX,0.100757649065,51955769,2407,21
CTO,0.593603305614,4257091,1176,21
CTRE,0.0262871279667,7125269,2231,21
CTRL,0.0283603563,12204658,2656,21
CTRN,0.0638667692959,8638541,1405,21
CTS,0.0518232039476,1174576,974,21
CTSO,0.0449316368533,7094906,2177,21
CTWS,0.216931913825,10825177,1896,21
CUB,0.074586743845,4560259,1933,21
CUBI,0.0490342013114,13962757,1737,21
CUBN,0.653468566686,7422994,905,21
CUDA,0.0520650844319,6128252,2905,21
CUI,0.0642278966349,4156064,1397,21
CUNB,0.242702955131,13641866,1195,21
CUO,0.818907962453,1174726,600,21
CUTR,0.076637717631,6893723,1222,21
CVA,0.012113075977,12436738,3365,21
CVBF,0.0209240168548,4626580,1737,21
CVCO,0.995787428053,38554195,2298,21
CVCY,0.125451172455,12896610,1308,21
CVEO,0.0229674874792,1859905,287,2
CVG,0.0189347501291,4727781,2317,21
CVGI,0.0287523201726,18289997,2775,21
CVGW,0.256342794735,22778358,2726,21
CVI,0.0191306081718,697451,317,2
CVLT,0.0658818699667,13385447,2304,21
CVLY,0.131925144441,1383606,746,21
CVR,1.05130941417,309289,434,21
CVRR,0.0333585212338,42822144,5333,21
CVRS,0.0199090930444,860009,199,2
CVT,0.0528318663329,10889113,2300,21
CVTI,0.0783586071288,13160370,1773,21
CVU,0.106172221755,1793605,463,21
CVV,0.15355278688,15398726,1299,21
CW,0.138785488884,458166,224,2
CWAY,0.232521134418,158372,257,21
CWBC,0.137899542974,83365,142,21
CWCO,0.0449555524083,4056465,1802,21
CWEI,0.350992800161,120709968,4686,21
CWST,0.028401359785,5696636,1854,21
CWT,0.0460573622526,2879927,2230,21
CXDC,0.08607103357,5359366,1056,21
CXRX,0.0185310300714,48100376,5444,21
CYAN,0.242841108411,606905,431,21
CYBE,0.193739519281,26831156,2657,21
CYBR,0.0734915820421,98126673,5038,21
CYD,0.0970112214964,4325154,1200,21
CYNA,0.0133363151125,24678029,2250,21
CYNO,0.0906823269268,13829700,2910,21
CYRN,0.040357466237,4517818,913,21
CYRX,0.0551529877521,32332,57,2
CYTK,0.0231079637937,18342891,2943,21
CYTR,0.00721605118997,6736242,351,2
CZFC,0.591537218928,947354,494,21
CZNC,0.204143876468,2733488,1045,21
CZR,0.0193300994686,45061161,4148,21
CZWI,0.380211875017,5769255,927,21
CZZ,0.0114747807355,1039384,287,2
DAC,0.0358673525483,3130958,1592,21
DAIO,0.0979976042057,597088,517,21
DAKT,0.0160059151222,45299690,2945,21
DAR,0.0108124220149,627684,218,2
DAVE,0.0732493295133,3069412,1125,21
DBD,0.0218606866686,19058858,3687,21
DCI,0.0148477557102,1038324,329,2
DCO,0.0929392012369,36107552,2445,21
DCOM,0.0318843097919,12948936,1703,21
DDC,0.0140866242143,7554502,2522,21
DDE,0.0177349895862,123874,86,2
DDS,0.0731518586045,21740182,3516,21
DECK,0.0565896310618,13675026,3338,21
DEL,0.427793633316,21650376,1587,21
DENN,0.01619484937,5974376,1785,21
DEPO,0.0265366136154,790430,316,2
DERM,0.0815547269726,15701720,2223,21
DEST,0.0741447558694,45612909,1988,21
DFBG,0.20509410535,12435309,1498,21
DFRG,0.0467839591836,8102337,1651,21
DGAS,0.302627090476,14607499,1410,21
DGI,0.0303468945847,7860720,2374,21
DGICA,0.123793314976,3226256,915,21
DGICB,1.10084949227,19203,37,6
DGII,0.0375379333957,9620913,1568,21
DGLY,0.0797253214997,3509879,1944,21
DHIL,3.3934718237,4991020,966,21
DHRM,0.465631061429,77292,50,2
DHX,0.0142604376568,3191770,1574,21
DHXM,0.136844314673,38879425,341,21
DIN,0.0809884397766,17657029,2440,21
DIOD,0.060548265163,2785622,1653,21
DISCB,1.76823967005,223854,41,17
DIT,2.1128662689,158302,288,21
DJCO,7.04513566631,2504495,659,21
DK,0.022044321196,549297,251,2
DKL,0.216260468056,22912144,2089,21
DLA,0.149700345067,9367171,1716,21
DLB,0.0466749210333,1853314,293,2
DLHC,0.159671608477,3338338,869,21
DLNG,0.0602744398563,11670979,2607,21
DLTH,0.0905565774409,16881117,2873,21
DLX,0.0933331457012,210163,217,2
DM,0.0922843854636,22436068,2763,21
DMD,0.0411620368909,1210109,1107,21
DMLP,0.23246989232,15191343,1738,21
DMRC,0.242911947499,16785094,1821,21
DMTX,0.117821025449,40693809,2323,21
DNAI,0.0273810518616,2734105,311,2
DNB,0.183480896556,452175,191,2
DNBF,0.636614079463,710645,201,18
DNOW,0.0155131352259,727989,269,2
DOOR,0.119588595853,5186464,1832,21
DORM,0.125732644245,15809546,2159,21
DPLO,0.0435286396879,26429677,3843,21
DPM,0.0679572286364,1749175,329,2
DPRX,0.237074152149,15582305,2187,21
DRAD,0.0395045693041,5277390,1686,21
DRII,0.0165563049207,1079625,125,2
DRNA,0.038141402018,24076609,3042,21
DRQ,0.0604970964828,18318748,3007,21
DRRX,0.0259984860496,2340037,296,2
DRWI,0.0407134839879,3123082,946,21
DSCI,0.0402563481719,3093426,1033,21
DSGX,0.0739866422777,2149603,645,21
DSPG,0.0476687474818,6204764,1489,21
DST,0.22667866909,647722,193,2
DSW,0.0298033884335,1089471,339,2
DSWL,0.068941454095,66997,57,2
DSX,0.0150338407863,18076421,3203,21
DTEA,0.0599373736347,11548363,1739,21
DTLK,0.0319727071303,5055815,1931,21
DTRM,0.0766924021444,2608894,55,2
DTSI,0.0663856597558,11104002,2294,21
DV,0.019483309206,5850201,2495,21
DVAX,0.0249710786649,106417238,5701,21
DVCR,0.32112196818,10777165,1177,21
DVD,0.0577853476183,1267439,438,21
DW,0.158936002957,20963914,2819,21
DWCH,0.122376541285,15479808,1650,21
DWSN,0.068250393988,7977146,1880,21
DXLG,0.0277130572848,1997475,1068,21
DXPE,0.0606896572579,57137739,2686,21
DXR,0.238851184401,357058,191,21
DXTR,0.199231406385,17385,31,2
DXYN,0.0825282096533,3261614,1067,21
DY,0.107607050553,41289883,4191,21
DYNT,0.18847109864,444595,393,21
DYSL,0.0559429660636,144535,70,2
EAC,0.0114999965934,440324,135,2
EACQ,0.140446685552,503387,165,20
EAGL,0.0908280497234,168130,60,14
EARS,0.0158337679841,3544455,431,2
EAT,0.0197997891278,23900733,559,2
EBF,0.0368998066399,5964519,2032,21
EBIX,0.112930056515,10862091,2831,21
EBMT,0.305436251528,1193809,291,21
EBS,0.0432314189541,27477140,3189,21
EBSB,0.0314661673023,3815117,1154,21
EBTC,0.653099263401,7197948,1094,21
ECAC,0.116438356164,14600,19,10
ECC,0.109677836623,1283410,196,2
ECHO,0.0594903167905,14358669,2515,21
ECOL,0.176724390894,12664390,1739,21
ECOM,0.0430593798138,5892585,1850,21
ECPG,0.0491434480749,8273637,2172,21
ECR,0.021703411922,1889756,309,2
ECT,0.064391377492,3203859,1507,21
ECYT,0.0385579678298,5153348,1925,21
EDE,0.0160541638624,4833457,2312,21
EDGE,0.0994658810456,16723244,1895,21
EDGW,0.411396129775,697453,450,21
EDUC,0.230652472361,5659610,1164,21
EE,0.0691144177453,6091965,1816,21
EEFT,0.0784985975452,2123990,255,2
EEI,0.230063059133,701421,482,21
EEP,0.0217708093267,606776,309,2
EEQ,0.0305856606383,14282686,2335,21
EFC,0.0444936187139,4824482,2045,21
EFII,0.0638318667462,10314150,2471,21
EFOI,0.0362893107226,8574864,2220,21
EFSC,0.0875443433974,5601684,1377,21
EFUT,0.117625310016,2444226,742,21
EGAN,0.0797537971966,13140510,1390,21
EGAS,0.0800054758977,1871894,847,21
EGBN,0.120443187054,21957367,1777,21
EGHT,0.0253228081187,11047154,2898,21
EGL,0.0707090980678,4889159,1767,21
EGLE,0.0927550916967,966338,323,2
EGLT,0.0491567351333,2403167,318,2
EGOV,0.0337174039909,8787835,1854,21
EGRX,0.199204387993,50077592,3370,21
EGT,0.0352196739431,3619,8,2
EGY,0.0179375015252,458968,177,2
EHTH,0.0307265266872,13109070,2034,21
EIG,0.0497430856253,3150039,1501,21
EIGI,0.0145337937115,16970397,2707,21
EIGR,0.129104121171,2409485,968,21
ELEC,0.037827647623,36495,44,10
ELGX,0.0264003134712,597503,220,2
ELLI,0.138357991752,32453641,3715,21
ELLO,0.31177836306,420443,406,20
ELMD,0.0487520459135,125274408,3175,21
ELNK,0.0168513978102,5942545,2083,21
ELON,0.109837371882,2680732,627,21
ELOS,0.0350544259515,4129982,1342,21
ELSE,0.116499795196,1158181,404,21
ELTK,0.0478632059697,248187,81,2
ELY,0.0132915416892,11878873,2661,21
EMAN,0.0387005475989,10373286,1762,21
EMCF,0.71608059137,380202,374,21
EMCI,0.271214279516,15108740,1359,21
EME,0.0622782708941,933361,254,2
EMES,0.0626264375399,18049168,3895,21
EMG,0.0304061109322,5207307,1263,21
EMKR,0.0146581750154,13278556,2205,21
EML,0.286247952155,1419077,743,21
ENBL,0.0506435750721,995303,252,2
ENFC,0.14330513316,975559,409,21
ENG,0.0460357994595,1500545,167,2
ENH,0.0747422891948,778693,225,2
ENLC,0.030070645838,12603160,2894,21
ENLK,0.0337916454923,1673803,400,2
ENOC,0.0258295563682,3585383,1853,21
ENPH,0.0146313862304,1185950,255,2
ENR,0.0455646757531,6079102,396,2
ENS,0.0928312679829,6090153,310,2
ENSG,0.0338257617413,7843115,2306,21
ENT,0.0169571208563,12091102,1780,21
ENTA,0.0558524304525,19726738,2592,21
ENTG,0.0165268280503,8909000,2128,21
ENTL,0.194864185292,23440646,1736,21
ENV,0.057931803725,7911938,2392,21
ENVA,0.0289789006573,4275773,1829,21
ENZ,0.0209868259921,8517575,2022,21
ENZY,0.12026613652,5922454,1199,21
EPAM,0.0997234527005,5807877,318,2
EPAY,0.0327435291911,13033015,2466,21
EPC,0.0527839618177,771247,291,2
EPIQ,0.0114071846657,30525387,1508,21
EPIX,0.216958070416,10935,7,1
EPM,0.0477810450609,13960488,1859,21
EPZM,0.0317844018522,20394524,3099,21
EQBK,0.400211295256,15082005,1154,21
EQFN,0.368609268531,182359,178,21
ERA,0.047283409935,4954634,1612,21
ERB,0.0294454592969,86099,74,2
ERF,0.0110874309179,1075170,285,2
ERI,0.0343317019624,19607496,2570,21
ERIE,0.497304093339,271612,115,2
ERII,0.029535145153,35205324,4422,21
ERN,0.0337112312,18482611,1930,21
EROS,0.0495569892682,6449495,2167,21
ERS,0.298857929062,3796250,836,21
ESBK,0.641451394374,463613,428,21
ESCA,0.168282205801,7412916,1023,21
ESE,0.0987189464258,13867196,1963,21
ESEA,0.066442196693,1455934,251,2
ESES,0.0521590920823,2092216,854,21
ESGR,1.69541048463,18751040,1446,21
ESI,0.00542800264552,63161893,799,2
ESIO,0.0283332727426,3477979,1524,21
ESL,0.148804607719,18164694,2436,21
ESLT,0.394115507073,159050,102,2
ESND,0.0359151304637,5572354,2015,21
ESNT,0.0204308552736,9209006,2818,21
ESP,0.776563859695,760713,454,21
ESPR,0.0462628685441,22454980,3581,21
ESSA,0.0863886911176,3620455,950,21
ESTE,0.0714288472969,17385414,2413,21
ESXB,0.0596569699094,342300,252,21
ETH,0.0578092824044,7570657,1895,21
ETM,0.0630011094916,1210915,1120,21
ETRM,0.00306624727141,60582071,541,2
ETSY,0.0198042635268,1099911,355,2
EURN,0.0126157291793,14866192,2906,21
EV,0.0217456802443,1131395,335,2
EVA,0.0709314232376,30102627,3121,21
EVBN,0.587236861556,1651124,770,21
EVBS,0.207920992143,4895565,871,21
EVC,0.0140694737546,3529874,1525,21
EVDY,0.0266107680341,7830408,2259,21
EVEP,0.0261541227148,14444026,2731,21
EVER,0.0137496585781,2769594,235,2
EVGN,0.102093024028,713578,356,21
EVH,0.0343082541881,27376454,3170,21
EVI,0.180799422002,5093445,1128,21
EVK,0.134130687076,1561211,590,21
EVOK,0.0617176838673,1043878,297,2
EVOL,0.0387076563641,3148740,1405,21
EVR,0.0619020963494,7836146,2495,21
EVRI,0.0140425096492,828052,224,2
EVTC,0.021063229947,5346775,1895,21
EWBC,0.0185922517592,2456506,390,2
EXA,0.110172150721,12620869,1766,21
EXAC,0.130852650678,18902619,1616,21
EXAR,0.0177042496993,4434149,1639,21
EXFO,0.043983646691,1178153,623,21
EXK,0.0114289238539,5352582,539,2
EXLS,0.0891243393837,19992051,2296,21
EXP,0.103494072561,887584,285,2
EXPO,0.145848841795,5593830,1868,21
EXPR,0.0187305843387,3098066,429,2
EXTN,0.0581344113129,6214311,1638,21
EXTR,0.0163750743773,12057111,2662,21
EYEG,0.030898118086,1713734,188,2
EYES,0.0205010503923,6834875,2561,21
EZPW,0.0199195330893,15700476,2845,21
FAC,0.0305394158799,175820,106,2
FAF,0.0152721489272,871137,314,2
FALC,0.023876201636,530818,110,2
FARM,0.120236169526,29982511,2292,21
FARO,0.103002619783,8336796,1850,21
FATE,0.0349071232783,20016472,3044,21
FBC,0.0426469496452,5772099,1671,21
FBIO,0.0483584490662,7680186,1709,21
FBIZ,0.288763249153,2681628,844,21
FBMS,0.66875683289,1528365,456,21
FBNC,0.0863293468885,9085171,1299,21
FBNK,0.138722180879,4146044,975,21
FBP,0.0163905415474,5434483,2120,21
FBRC,0.12781402529,5068537,1223,21
FBSS,0.257084239742,76382,167,21
FC,0.0965204160898,5500495,1355,21
FCAP,1.3623522772,804278,490,21
FCB,0.0363477408611,6941406,1977,21
FCBC,0.175325987794,13049207,1234,21
FCCO,0.219865659407,250316,327,21
FCCY,0.362474794039,860479,484,21
FCEL,0.0236038443299,20298180,3860,21
FCF,0.0211117923106,1343333,1236,21
FCFP,0.0629095831741,5156997,885,21
FCFS,0.0719238373742,17742940,2595,21
FCLF,0.152337859057,117948,98,5
FCN,0.0506749741008,6172977,1918,21
FCNCA,4.17080386285,1596181,118,2
FCSC,0.0663063291353,295933,139,2
FDEF,0.305330852903,14572214,1410,21
FDML,0.0321412260708,7812697,1986,21
FDP,0.0595508439803,9922388,2209,21
FEIC,0.0567805571387,538645,223,2
FEIM,0.478103814126,3062746,792,21
FELE,0.112594744311,3570531,1689,21
FELP,0.0469174825207,879753,335,2
FENX,0.0653309822533,14077927,2156,21
FET,0.0187617020331,12415411,2671,21
FF,0.0290432043606,3409429,1666,21
FFBC,0.0390051623145,4199163,1467,21
FFG,0.384493214719,1685855,1015,21
FFIC,0.0807763074235,2197490,1115,21
FFIN,0.0768199089915,5354008,1774,21
FFKT,0.546010256379,4280156,923,21
FFNW,0.122461088445,1148556,769,21
FFWM,0.168518000056,12477178,1113,21
FGBI,0.3335269512,421369,323,21
FGEN,0.049831920493,14106336,2743,21
FGL,0.0589381458078,9659937,1964,21
FGP,0.0482491626866,49370941,5237,21
FH,0.0192603132808,2622759,182,2
FHCO,0.0319773057536,348758,154,2
FI,0.0156305625692,23047457,2711,21
FIBK,0.0711224036862,12265428,1739,21
FICO,0.137260027972,481907,242,2
FIG,0.0183961399,10960571,2758,21
FII,0.0186113370363,710953,248,2
FINL,0.0191000737298,6461430,353,2
FISI,0.141435754685,7287045,1207,21
FIVE,0.0435766152358,40233243,4502,21
FIVN,0.0270575591331,10439365,2773,21
FIX,0.0400461099855,15109905,2837,21
FIZZ,0.0849496296616,47672209,3759,21
FLDM,0.034052727834,6592190,1733,21
FLIC,0.183266777016,8255613,1384,21
FLIR,0.0319955857669,479585,255,2
FLKS,0.109825079291,24558960,1694,21
FLL,0.0441925866518,458848,122,2
FLOW,0.0463204363654,48889623,2866,21
FLTX,0.0212798135929,16738630,2974,21
FLWS,0.0293556742111,3374381,1674,21
FLXN,0.0549231544498,18938377,2687,21
FLXS,0.334240285727,12790098,1565,21
FMBH,0.133982557918,4827457,1341,21
FMBI,0.0176123929914,4044770,1506,21
FMI,0.10908857183,14478154,2530,21
FMNB,0.0747845468842,6976716,1387,21
FMSA,0.0141051524034,4355055,387,2
FN,0.0545830050795,18368812,3756,21
FNBC,0.028142490849,24062767,3033,21
FNFV,0.0219956105809,3072525,1535,21
FNGN,0.0640661858724,10671161,2234,21
FNHC,0.0931837606664,13470485,1889,21
FNLC,0.185477189114,4238976,937,21
FNSR,0.0243249612662,1576787,369,2
FNWB,0.0865483398871,19850909,1323,21
FOE,0.0156547107989,7116829,2388,21
FOGO,0.0537895286945,5436495,1748,21
FOMX,0.0345661314142,19643377,2847,21
FONR,0.169825960256,13111847,1776,21
FOR,0.019552079355,8269776,1831,21
FORD,0.0254800040213,253651,101,2
FORK,0.118290913313,10244317,1006,21
FORM,0.0254274148897,7272030,2237,21
FORR,0.356135215999,9494321,1345,21
FOSL,0.0304664605696,1167411,381,2
FOXF,0.0365311290635,42659674,2509,21
FPRX,0.179060370045,38594071,3182,21
FRAN,0.0219135357439,27690122,3467,21
FRBA,0.373279511555,214804,261,21
FRBK,0.0402187362382,1709436,1045,21
FRD,0.0831189249836,203662,276,21
FRED,0.0240551867699,13298720,2437,21
FRGI,0.040579797034,15783529,2969,21
FRME,0.0552799349534,6331767,1659,21
FRP,0.0574520568917,6173271,1509,21
FRPH,0.915680341038,4838760,803,21
FRPT,0.0334206924985,31723390,2404,21
FRSH,0.0385398268747,2060011,1767,21
FSAM,0.0519450761566,7371061,2480,21
FSB,0.138722010333,9237693,1742,21
FSBK,0.295440628142,164103,251,21
FSBW,0.709829420587,814790,493,21
FSFG,0.520935809391,543606,296,21
FSIC,0.0140767504424,23904214,3709,21
FSM,0.0202277145829,2593916,441,2
FSNN,0.0968964903357,31456,49,2
FSS,0.015328080036,7754114,1862,21
FSTR,0.0626131442788,2836854,1284,21
FSV,0.250061202491,3973750,994,21
FTAI,0.0352149054498,13229698,2028,21
FTD,0.0507976243339,8459438,2073,21
FTEK,0.0419121481788,96640,79,2
FTK,0.0282927672619,25514528,3880,21
FUEL,0.0199434437936,11090415,2860,21
FUL,0.0571004651748,8914284,2265,21
FULT,0.012925692356,10784951,2017,21
FUN,0.0672751097049,12150555,379,2
FUNC,0.185317661373,879807,569,21
FVE,0.0349087927576,4077549,1467,21
FWRD,0.0993526621084,8477585,1887,21
FXCM,0.0704293758023,12456310,1641,21
GABC,0.232605173047,10471237,1258,21
GAIA,0.0433225435854,3617783,1484,21
GALT,0.0994630010238,207076,130,2
GASS,0.0468804543869,5647390,872,21
GATX,0.064123270491,44189218,3135,21
GBCI,0.0257850434038,8937575,2208,21
GBL,0.12021393676,4418143,1067,21
GBLI,0.796112178615,7959879,976,21
GBNK,0.149788522581,7189064,1137,21
GBT,0.0697869475247,24342218,3337,21
GBX,0.0556081827016,30000642,3600,21
GCAP,0.0214007182793,4908258,1559,21
GCBC,0.350423343624,282137,357,21
GCI,0.0143606166249,739769,266,2
GCO,0.113420169461,64894891,3586,21
GCP,0.0406812480831,10752922,2452,21
GDDY,0.0280254381545,11308910,3193,21
GDEN,0.059938404983,7251697,1800,21
GDOT,0.0265104639371,3134843,1555,21
GEC,0.0505611440415,1310844,685,21
GEF,0.0851415315057,20012802,3133,21
GEF B,0.739539982105,9592799,1319,21
GEL,0.0625023114444,2293674,341,2
GEN,0.0158971415624,1109977,228,2
GENC,0.0758423885304,8855780,1272,21
GEOS,0.103137814422,19906265,1870,21
GES,0.0131027365442,1859462,418,2
GFED,0.298208259822,115402,134,21
GFF,0.0294239954502,1731049,1353,21
GFN,0.141540685231,1313892,526,21
GGG,0.0630693936125,352250,232,2
GHC,4.01546359104,38354120,1971,21
GHDX,0.0706618474731,16549892,2138,21
GHL,0.0286438594321,36835160,3601,21
GHM,0.142540259047,7421137,1099,21
GI,0.021832155622,14613485,1967,21
GIFI,0.0754212558455,6116915,1208,21
GIG,0.027115101185,1089835,256,2
GIGA,0.0427856448101,118027,55,2
GIGM,0.0931325089894,547587,476,21
GIII,0.0445298056346,28796025,3704,21
GILT,0.0452037906722,3141369,790,21
GIMO,0.0803582457157,30111607,5106,21
GK,0.105853682512,9551442,2269,21
GKOS,0.0456661951079,45719078,3920,21
GLBL,0.019107789594,18800736,3423,21
GLBZ,0.267111578059,124425,176,20
GLDC,0.0652539497847,10561677,611,21
GLDD,0.0214279407457,5263954,1570,21
GLF,0.0132493834502,23746664,2954,21
GLMD,0.0856698156533,23179372,2257,21
GLOB,0.105927033715,36631240,2643,21
GLOG,0.0155817828795,26050555,3127,21
GLOP,0.0693935534236,25908667,2906,21
GLP,0.0562348936429,9320437,2320,21
GLPI,0.0180868634283,1572800,320,2
GLRE,0.0441841173213,4279360,1432,21
GLT,0.0458415470496,6188916,1902,21
GLYC,0.0846886456579,15616158,1686,21
GMAN,0.0309121676286,661534,132,2
GMED,0.0168488327514,18898073,3199,21
GMLP,0.0520642753505,26678042,3290,21
GNBC,0.0446177997383,5622622,1201,21
GNC,0.0176368934445,3094997,474,2
GNCA,0.035990385186,22807347,3351,21
GNCMA,0.0314235850326,6331312,1769,21
GNE,0.0462764566226,2010816,1378,21
GNMK,0.0222272246299,204743922,2796,21
GNRC,0.0319845078385,14107005,2915,21
GNRT,0.0188407810784,8348509,2439,21
GOGO,0.0208222782526,1981861,407,2
GOOD,0.0346005772366,6676292,2661,21
GORO,0.041434756443,2448277,472,2
GPAC,0.120054808687,29010,20,7
GPI,0.110039346377,16211068,2528,21
GPIC,0.749231066814,683221,424,21
GPP,0.0985543111989,21832987,2389,21
GPRE,0.0271663567311,38506288,2839,21
GPRK,0.0429748409035,1249556,420,21
GPX,0.0911403794889,1506500,1024,21
GRBK,0.0342474811454,6892597,1654,21
GRC,0.199378543885,2719099,1099,21
GRIF,1.46554748495,1046382,407,21
GROW,0.0375889819266,94227,64,2
GRSH,0.0198106130747,26266752,2113,21
GSB,0.0458989088546,1618941,1066,21
GSBC,0.386704441239,8521294,1207,21
GSBD,0.0360767945887,3629606,273,2
GSIT,0.0494440457131,1764569,701,21
GSL,0.0233738778973,160324,103,2
GSOL,0.0983527686054,4899669,975,21
GSV,0.0165219728704,2513495,437,2
GTE,0.0115114617508,1054010,213,2
GTIM,0.0526839940857,2752645,1096,21
GTLS,0.0550839854287,17604686,2685,21
GTN,0.0153224724472,20066346,3503,21
GTN A,0.264727166746,69309,118,19
GTS,0.0531666129598,12035080,1895,21
GTT,0.0480720001965,5232101,1992,21
GTWN,0.641175347642,208548,210,21
GUID,0.0510190619066,2193385,794,21
GURE,0.176946636622,213461,133,2
GV,0.0214281181186,10324944,2281,21
GVA,0.0740826375752,5098084,2146,21
GVP,0.0378389296803,6272294,1149,21
GWB,0.0332581892621,29824592,2666,21
GWGH,0.502142337339,3416920,916,21
GWR,0.150597067955,642555,257,2
GWRE,0.0393303434928,1743326,256,2
GXP,0.01010504403,1000113,270,2
GYRO,0.665214281592,1174701,648,19
GZT,0.118776586763,405574,444,21
H,0.0932070586847,338930,213,2
HA,0.0566852814551,16775218,3768,21
HABT,0.029181744476,8471151,2412,21
HAE,0.0460924224078,14246148,2522,21
HAFC,0.057072912266,18712034,1910,21
HAIN,0.0238787053155,4405691,560,2
HALL,0.0957729526351,5045974,1016,21
HALO,0.0166586323409,1071963,324,2
HAWK,0.0297230509333,23359501,3031,21
HAYN,0.200070033888,9706875,1436,21
HBCP,0.596716024989,4726206,850,21
HBHC,0.0284992380307,16014687,2776,21
HBIO,0.0380973903633,12255882,1007,21
HBK,0.302598033963,436716,245,21
HBM,0.0127911351341,10095900,1633,21
HBMD,0.484448014751,515225,346,21
HBNC,0.127364009681,6049613,1329,21
HBP,0.0346990298405,5776782,1990,21
HCAC,0.0714976505592,620105,218,20
HCAP,0.106362445082,4955604,1235,21
HCCI,0.0680502916762,6459560,1540,21
HCHC,0.0261462094411,35896896,2280,21
HCI,0.104255424611,12621440,1800,21
HCKT,0.0498459189701,2820244,1544,21
HCLP,0.0455982796747,25985144,4243,21
HCOM,0.280917962885,9269552,1057,21
HCSG,0.0305865641225,26311709,3042,21
HDNG,0.0971587319034,9096894,1075,21
HDP,0.0364095873177,14597889,3248,21
HDRA,0.136470509744,69172,81,14
HDSN,0.0294661057497,15516735,3162,21
HE,0.0237261749832,408325,274,2
HEAR,0.0201428436628,1122292,305,2
HEES,0.0416201101116,10467013,2247,21
HEI,0.0859921072244,460231,254,2
HEI A,0.134869729603,13949873,2009,21
HELE,0.138790137456,14620123,2275,21
HEOP,0.0596232404238,2427701,790,21
HEP,0.199889778174,18665940,2524,21
HF,0.0536239125984,25481087,2405,21
HFBC,0.092427022072,473450,454,21
HFBL,0.572293420072,52341,105,20
HFWA,0.0468155115711,7915117,1291,21
HGG,0.0850770775992,477402,225,2
HGSH,0.0748549089387,2312893,887,21
HGT,0.0347247152379,3747514,1947,21
HHC,0.593675693285,1018809,202,2
HHS,0.0146124197231,345990,169,2
HI,0.0343489929966,7400074,2239,21
HIBB,0.049593063303,20852893,2579,21
HIFS,3.6994082389,1054158,613,21
HIHO,0.0948770468692,1270428,832,21
HIIQ,0.0363946763154,10870892,2412,21
HIL,0.0318820063476,1958524,1003,21
HIVE,0.0265653727367,5606666,1804,21
HLI,0.103788316674,3327811,1336,21
HLIT,0.020010455199,21363295,3218,21
HLS,0.0245715900677,822487,284,2
HLTH,0.0166878399144,12803479,2188,21
HLX,0.0138324462047,2844345,343,2
HMHC,0.016227739055,14511702,2371,21
HMLP,0.215174477007,4143174,644,21
HMN,0.0431618049681,4465730,1987,21
HMNF,0.249839693777,1159091,425,21
HMNY,0.315325903405,1070284,160,2
HMST,0.0473029565556,7678665,2107,21
HMSY,0.0254979767982,9748805,2691,21
HMTV,0.0798137023996,5077191,1139,21
HNH,0.897220265762,5348775,868,21
HNI,0.0745992445423,16772083,2822,21
