evidence_id,source_file,domain,design,oos_n,benchmark,evaluated_model_or_family,metric,key_stat,gate_status,supports_har_ceiling,paper_grade,interpretation
K530_SPY_daily_proxy_har_vs_garch_ewma,experiments/k530/k530_har_multiscale_results.json,SPY daily proxy volatility,HAR variants vs GJR-GARCH/EWMA on daily proxy target,500,GJR-GARCH and EWMA(0.94),HAR-ABS/HAR-VIX/HAR-LEVERAGE/HAR-JUMP,Patton QLIKE + Harvey |t|>3,"best=HAR-VIX, qlike=0.462929; HAR Harvey winners vs GJR=['HAR-ABS', 'HAR-VIX', 'HAR-LEVERAGE', 'HAR-JUMP']; vs EWMA=['HAR-ABS', 'HAR-VIX', 'HAR-LEVERAGE', 'HAR-JUMP']",PASS_LOCAL_DAILY_PROXY,True,True,Local daily proxy evidence says tuned HAR-class models beat classical conditional variance baselines under the project Harvey threshold.
K530_0050_TW_daily_proxy_har_vs_garch_ewma,experiments/k530/k530_har_multiscale_results.json,0050.TW daily proxy volatility,HAR variants vs GJR-GARCH/EWMA on daily proxy target,464,GJR-GARCH and EWMA(0.94),HAR-ABS/HAR-VIX/HAR-LEVERAGE/HAR-JUMP,Patton QLIKE + Harvey |t|>3,"best=HAR-ABS, qlike=0.511462; HAR Harvey winners vs GJR=['HAR-ABS', 'HAR-LEVERAGE', 'HAR-JUMP']; vs EWMA=['HAR-ABS', 'HAR-LEVERAGE', 'HAR-JUMP']",PASS_LOCAL_DAILY_PROXY,True,True,Local daily proxy evidence says tuned HAR-class models beat classical conditional variance baselines under the project Harvey threshold.
K764_rough_vol_extension_vs_har_abs,experiments/k764/k764_rough_vol_multivariate_results.json,SPY/GLD/0050 daily proxy rough-vol extension,HAR-ABS vs univariate and bivariate rough-vol HAR extensions,4828,HAR-ABS,HAR-Rough and HAR-Rough-Biv,Patton QLIKE + Harvey |t|>3,best=HAR-ABS; HAR-Rough vs HAR-ABS DM=1.345; HAR-Rough-Biv vs HAR-ABS DM=2.354; biv significant_harvey=False,NO_BREAK_LOCAL_DAILY_PROXY,True,True,Richer rough-vol structure did not beat the existing HAR-ABS ceiling OOS; added complexity looks like in-sample fit rather than robust forecast gain.
K1377_har_family_forecast_combination,experiments/k1377/k1377_results.json,SPY/GLD/0050 daily proxy adaptive forecast combination,Exp-QLIKE forecast combination vs HAR-VIX/EqWeight,500,HAR-VIX and equal-weight combination,HAR-family adaptive combination,Patton QLIKE + Harvey |t|>3,Exp-QLIKE combo beats HAR-VIX: 2/3 Harvey |t|>3; beats EqWeight in 2/3 assets,PASS_HAR_FAMILY_INCREMENT,True,True,"A tuned HAR-family combination can improve on one HAR variant, but it does not supply a non-HAR/ML break of the ceiling."
K1349_0050_5min_intraday_rv,experiments/k1349/K1349_results.json,0050.TW local 5-minute intraday_rv,HAR-RV pilot with 0050.TW 5-minute bars,34,rv_lag1,expanding_mean/ar1_logrv/har_logrv/har_bpv,Patton QLIKE + HAC DM,best_by_qlike=expanding_mean; n_oos=34; verdict=PILOT_ONLY_INSUFFICIENT_OOS,PILOT_ONLY_INSUFFICIENT_OOS,,False,"Intraday pipeline is usable, but sample length is below the 252 OOS minimum, so it cannot confirm or refute the Los Flamingos/HARd-to-Beat claim."
K1349_0050_5min_total_rv,experiments/k1349/K1349_results.json,0050.TW local 5-minute total_rv,HAR-RV pilot with 0050.TW 5-minute bars,33,rv_lag1,expanding_mean/ar1_logrv/har_logrv/har_bpv,Patton QLIKE + HAC DM,best_by_qlike=expanding_mean; n_oos=33; verdict=PILOT_ONLY_INSUFFICIENT_OOS,PILOT_ONLY_INSUFFICIENT_OOS,,False,"Intraday pipeline is usable, but sample length is below the 252 OOS minimum, so it cannot confirm or refute the Los Flamingos/HARd-to-Beat claim."
K1521_SPY_realized_kurtosis_har_extension,experiments/k1521/k1521_results.json,SPY local 5-minute realized kurtosis extension,HAR vs HAR_RK on local 5-minute realized measures,51,HAR,HAR_RK,Patton QLIKE + Harvey |t|>3,qlike_improvement_pct=-8.699; dm_t=0.295; harvey_pass=False,NULL_INSUFFICIENT_OOS,,False,Realized-kurtosis extension remains a local feasibility pilot; OOS length is below the project threshold.
K1521_0050_TW_realized_kurtosis_har_extension,experiments/k1521/k1521_results.json,0050.TW local 5-minute realized kurtosis extension,HAR vs HAR_RK on local 5-minute realized measures,38,HAR,HAR_RK,Patton QLIKE + Harvey |t|>3,qlike_improvement_pct=-0.634; dm_t=0.142; harvey_pass=False,NULL_INSUFFICIENT_OOS,,False,Realized-kurtosis extension remains a local feasibility pilot; OOS length is below the project threshold.
K966_path_dependent_har_extension,experiments/k966/k966_har_pd_results.json,5-minute path-dependent HAR pilot,HAR-PD vs HAR-RV with bootstrap,17,HAR-RV,HAR-PD,Patton QLIKE + DM + bootstrap,n_oos=17; dm_t=-1.3714; bootstrap_pct_pd_better=10.6,PILOT_NULL_INSUFFICIENT_OOS,,False,"Path-dependent intraday features did not improve the pilot, but OOS size is too small for a paper-grade ceiling statement."
K1350_los_flamingos_provenance,https://www.losflamingosresearch.com/deeep-dive-june-3-2025,External literature provenance,Los Flamingos summary of HARd-to-Beat paper,,ML models and HAR variants,HAR/HAR-VIX vs LASSO/RF/GBT/FFN,QLIKE/MSE/realized utility,Source confirmed: Los Flamingos June 3 2025 article summarizes HARd to Beat and emphasizes daily re-estimation plus 2.5-4 year windows.,PROVENANCE_CONFIRMED,True,,"The backlog label refers to a practitioner summary, not a separate local dataset; the primary academic target is arXiv:2406.08041."
K1350_exact_replication_scope,https://arxiv.org/html/2406.08041v1,Exact replication feasibility,"1,445 U.S. stocks, 2015-2023, high-frequency RV, tuned HAR vs ML",,HAR/HAR-VIX with tuned rolling window and daily refit,ML challenger suite,QLIKE/MSE/model confidence set/realized utility,Exact input panel is not present in local storage; local repo has daily proxies and short 2026 5-minute panels only.,EXACT_REPLICATION_DATA_UNAVAILABLE,,False,"Do not claim an exact Los Flamingos/HARd-to-Beat replication without acquiring the 1,445-stock high-frequency RV panel and reproducing the fitting-scheme grid."
