announce_date,period,guide_updated,note,stock
2014-02-25,201312,1,FY2014 guide initial ~10bn,2330.TW
2014-05-14,201403,0,held,2330.TW
2014-08-13,201406,0,held,2330.TW
2014-11-12,201409,0,held,2330.TW
2015-02-24,201412,1,FY2015 guide raised,2330.TW
2015-05-11,201503,0,held,2330.TW
2015-08-11,201506,0,held,2330.TW
2015-11-11,201509,1,FY2015 CUT (smartphone slowdown),2330.TW
2016-02-04,201512,1,FY2016 guide,2330.TW
2016-05-11,201603,0,held,2330.TW
2016-08-04,201606,1,FY2016 RAISED,2330.TW
2016-11-09,201609,0,held,2330.TW
2017-02-16,201612,1,FY2017 guide,2330.TW
2017-05-10,201703,0,held,2330.TW
2017-08-08,201706,1,FY2017 RAISED mid-year,2330.TW
2017-11-14,201709,0,held,2330.TW
2018-02-21,201712,1,FY2018 guide,2330.TW
2018-05-02,201803,0,held,2330.TW
2018-08-14,201806,0,held,2330.TW
2018-11-13,201809,1,FY2018 CUT year-end,2330.TW
2019-02-22,201812,1,FY2019 guide,2330.TW
2019-05-15,201903,0,held,2330.TW
2019-08-14,201906,1,FY2019 narrow tighten,2330.TW
2019-11-14,201909,1,FY2019 MAJOR RAISE (5nm ramp),2330.TW
2020-02-27,201912,1,FY2020 guide,2330.TW
2020-05-14,202003,0,held,2330.TW
2020-08-14,202006,1,FY2020 RAISED,2330.TW
2020-11-13,202009,0,held,2330.TW
2021-02-26,202012,1,FY2021 MASSIVE RAISE ($100bn 3yr plan),2330.TW
2021-05-14,202103,1,FY2021 REVISED upward,2330.TW
2021-08-13,202106,0,held,2330.TW
2021-11-12,202109,0,held,2330.TW
2022-02-25,202112,1,FY2022 guide RAISED sharply,2330.TW
2022-05-13,202203,0,held,2330.TW
2022-08-12,202206,0,held,2330.TW
2022-11-14,202209,1,FY2022 CUT (inventory correction),2330.TW
2023-02-24,202212,1,FY2023 guide,2330.TW
2023-05-12,202303,1,FY2023 tighten to low end,2330.TW
2023-08-14,202306,0,held,2330.TW
2023-11-14,202309,1,FY2023 reconfirm,2330.TW
2024-02-29,202312,1,FY2024 guide,2330.TW
2024-05-15,202403,0,held,2330.TW
2024-08-14,202406,0,held,2330.TW
2024-11-14,202409,1,FY2024 narrow to high end,2330.TW
2025-02-27,202412,1,FY2025 guide RAISED,2330.TW
2025-05-15,202503,0,held,2330.TW
2025-08-14,202506,0,held,2330.TW
2025-11-14,202509,1,FY2025 RAISED to 42bn,2330.TW
2014-03-14,201312,1,FY2014 guide ~$1.3bn (annual report),2303.TW
2014-05-02,201403,0,held,2303.TW
2014-07-31,201406,0,held,2303.TW
2014-10-31,201409,0,held,2303.TW
2015-03-19,201412,1,FY2015 guide ~$1.5bn (annual report),2303.TW
2015-04-30,201503,0,held,2303.TW
2015-07-30,201506,1,FY2015 tightened down (slowdown),2303.TW
2015-10-30,201509,0,held,2303.TW
2016-03-18,201512,1,FY2016 guide ~$2.8bn (28nm ramp),2303.TW
2016-04-29,201603,0,held,2303.TW
2016-07-29,201606,0,held,2303.TW
2016-10-27,201609,0,held,2303.TW
2017-02-23,201612,1,FY2017 guide ~$2.0bn,2303.TW
2017-05-04,201703,0,held,2303.TW
2017-07-28,201706,0,held,2303.TW
2017-10-27,201709,1,FY2017 trimmed to ~$1.5bn,2303.TW
2018-03-09,201712,1,FY2018 guide ~$1.0bn (mature-node focus),2303.TW
2018-04-26,201803,0,held,2303.TW
2018-07-27,201806,0,held,2303.TW
2018-10-24,201809,0,held,2303.TW
2019-03-08,201812,1,FY2019 guide ~$0.6bn (asset-lite pivot),2303.TW
2019-04-30,201903,0,held,2303.TW
2019-07-24,201906,0,held,2303.TW
2019-10-30,201909,0,held,2303.TW
2020-02-26,201912,1,FY2020 guide ~$1.0bn,2303.TW
2020-04-27,202003,0,held,2303.TW
2020-07-29,202006,0,held,2303.TW
2020-10-29,202009,1,FY2020 RAISED (capacity tight),2303.TW
2021-02-24,202012,1,FY2021 guide ~$1.5bn (structural),2303.TW
2021-04-28,202103,1,FY2021 RAISED (28nm expansion),2303.TW
2021-07-28,202106,1,FY2021 further RAISED,2303.TW
2021-10-27,202109,1,FY2021 RAISED again (P6 Singapore),2303.TW
2022-02-24,202112,1,FY2022 guide ~$3.0bn sharp raise,2303.TW
2022-04-27,202203,0,held,2303.TW
2022-07-27,202206,0,held,2303.TW
2022-11-02,202209,1,FY2022 CUT (demand softening),2303.TW
2023-02-22,202212,1,FY2023 guide ~$3.0bn,2303.TW
2023-04-26,202303,1,FY2023 trimmed,2303.TW
2023-07-26,202306,0,held,2303.TW
2023-10-25,202309,0,held,2303.TW
2024-02-27,202312,1,FY2024 guide ~$3.3bn,2303.TW
2024-04-24,202403,0,held,2303.TW
2024-07-31,202406,0,held,2303.TW
2024-10-30,202409,0,held,2303.TW
2025-02-26,202412,1,FY2025 guide ~$1.8bn (slowdown),2303.TW
2025-04-23,202503,0,held,2303.TW
2025-07-30,202506,0,held,2303.TW
2025-10-29,202509,1,FY2025 trimmed,2303.TW
2014-02-25,201312,1,FY2014 guide initial ~10bn,TSM
2014-05-14,201403,0,held,TSM
2014-08-13,201406,0,held,TSM
2014-11-12,201409,0,held,TSM
2015-02-24,201412,1,FY2015 guide raised,TSM
2015-05-11,201503,0,held,TSM
2015-08-11,201506,0,held,TSM
2015-11-11,201509,1,FY2015 CUT (smartphone slowdown),TSM
2016-02-04,201512,1,FY2016 guide,TSM
2016-05-11,201603,0,held,TSM
2016-08-04,201606,1,FY2016 RAISED,TSM
2016-11-09,201609,0,held,TSM
2017-02-16,201612,1,FY2017 guide,TSM
2017-05-10,201703,0,held,TSM
2017-08-08,201706,1,FY2017 RAISED mid-year,TSM
2017-11-14,201709,0,held,TSM
2018-02-21,201712,1,FY2018 guide,TSM
2018-05-02,201803,0,held,TSM
2018-08-14,201806,0,held,TSM
2018-11-13,201809,1,FY2018 CUT year-end,TSM
2019-02-22,201812,1,FY2019 guide,TSM
2019-05-15,201903,0,held,TSM
2019-08-14,201906,1,FY2019 narrow tighten,TSM
2019-11-14,201909,1,FY2019 MAJOR RAISE (5nm ramp),TSM
2020-02-27,201912,1,FY2020 guide,TSM
2020-05-14,202003,0,held,TSM
2020-08-14,202006,1,FY2020 RAISED,TSM
2020-11-13,202009,0,held,TSM
2021-02-26,202012,1,FY2021 MASSIVE RAISE ($100bn 3yr plan),TSM
2021-05-14,202103,1,FY2021 REVISED upward,TSM
2021-08-13,202106,0,held,TSM
2021-11-12,202109,0,held,TSM
2022-02-25,202112,1,FY2022 guide RAISED sharply,TSM
2022-05-13,202203,0,held,TSM
2022-08-12,202206,0,held,TSM
2022-11-14,202209,1,FY2022 CUT (inventory correction),TSM
2023-02-24,202212,1,FY2023 guide,TSM
2023-05-12,202303,1,FY2023 tighten to low end,TSM
2023-08-14,202306,0,held,TSM
2023-11-14,202309,1,FY2023 reconfirm,TSM
2024-02-29,202312,1,FY2024 guide,TSM
2024-05-15,202403,0,held,TSM
2024-08-14,202406,0,held,TSM
2024-11-14,202409,1,FY2024 narrow to high end,TSM
2025-02-27,202412,1,FY2025 guide RAISED,TSM
2025-05-15,202503,0,held,TSM
2025-08-14,202506,0,held,TSM
2025-11-14,202509,1,FY2025 RAISED to 42bn,TSM
2021-11-30,202109,1,FY2021 initial guide ~$1.9bn (post-IPO),GFS
2022-02-08,202112,1,FY2022 guide ~$4.5bn major ramp,GFS
2022-05-10,202203,0,held,GFS
2022-08-09,202206,0,held,GFS
2022-11-08,202209,1,FY2022 tightened,GFS
2023-02-14,202212,1,FY2023 guide ~$3.0bn (CUT from $4.5bn),GFS
2023-05-09,202303,1,FY2023 further CUT (demand slow),GFS
2023-08-08,202306,0,held,GFS
2023-11-07,202309,0,held,GFS
2024-02-13,202312,1,FY2024 guide ~$0.7bn (sharp CUT),GFS
2024-05-07,202403,0,held,GFS
2024-08-06,202406,0,held,GFS
2024-11-05,202409,0,held,GFS
2025-02-11,202412,1,FY2025 guide ~$0.7bn,GFS
2025-05-06,202503,0,held,GFS
2025-08-05,202506,0,held,GFS
2025-11-12,202509,1,FY2025 reconfirm with slight tighten,GFS
2020-05-13,202003,1,FY2020 guide ~$4.3bn,0981.HK
2020-08-27,202006,1,FY2020 RAISED to $5.9bn (pre-export-controls rush),0981.HK
2020-11-11,202009,1,FY2020 CUT ~$4.7bn (ASML restriction),0981.HK
2021-02-04,202012,1,FY2021 guide ~$4.3bn,0981.HK
2021-05-13,202103,0,held,0981.HK
2021-08-05,202106,1,FY2021 RAISED ($4.3→$4.7bn),0981.HK
2021-11-11,202109,0,held,0981.HK
2022-02-10,202112,1,FY2022 guide ~$5.0bn,0981.HK
2022-05-12,202203,0,held,0981.HK
2022-08-11,202206,0,held,0981.HK
2022-11-10,202209,0,held,0981.HK
2023-02-09,202212,1,FY2023 guide ~$6.5bn (mature-node expansion),0981.HK
2023-05-11,202303,0,held,0981.HK
2023-08-10,202306,0,held,0981.HK
2023-11-09,202309,0,held,0981.HK
2024-02-06,202312,1,FY2024 guide ~$7.3bn,0981.HK
2024-05-09,202403,0,held,0981.HK
2024-08-08,202406,0,held,0981.HK
2024-11-07,202409,0,held,0981.HK
2025-02-10,202412,1,FY2025 guide ~$7.3bn reconfirm,0981.HK
2025-05-08,202503,0,held,0981.HK
2025-08-07,202506,0,held,0981.HK
2025-11-13,202509,0,held,0981.HK
