announce_date,period,guide_updated,note,stock
2014-02-25,201312,1,FY2014 guide initial ~10bn,2330.TW
2014-05-14,201403,0,held,2330.TW
2014-08-13,201406,0,held,2330.TW
2014-11-12,201409,0,held,2330.TW
2015-02-24,201412,1,FY2015 guide raised,2330.TW
2015-05-11,201503,0,held,2330.TW
2015-08-11,201506,0,held,2330.TW
2015-11-11,201509,1,FY2015 CUT (smartphone slowdown),2330.TW
2016-02-04,201512,1,FY2016 guide,2330.TW
2016-05-11,201603,0,held,2330.TW
2016-08-04,201606,1,FY2016 RAISED,2330.TW
2016-11-09,201609,0,held,2330.TW
2017-02-16,201612,1,FY2017 guide,2330.TW
2017-05-10,201703,0,held,2330.TW
2017-08-08,201706,1,FY2017 RAISED mid-year,2330.TW
2017-11-14,201709,0,held,2330.TW
2018-02-21,201712,1,FY2018 guide,2330.TW
2018-05-02,201803,0,held,2330.TW
2018-08-14,201806,0,held,2330.TW
2018-11-13,201809,1,FY2018 CUT year-end,2330.TW
2019-02-22,201812,1,FY2019 guide,2330.TW
2019-05-15,201903,0,held,2330.TW
2019-08-14,201906,1,FY2019 narrow tighten,2330.TW
2019-11-14,201909,1,FY2019 MAJOR RAISE (5nm ramp),2330.TW
2020-02-27,201912,1,FY2020 guide,2330.TW
2020-05-14,202003,0,held,2330.TW
2020-08-14,202006,1,FY2020 RAISED,2330.TW
2020-11-13,202009,0,held,2330.TW
2021-02-26,202012,1,FY2021 MASSIVE RAISE ($100bn 3yr plan),2330.TW
2021-05-14,202103,1,FY2021 REVISED upward,2330.TW
2021-08-13,202106,0,held,2330.TW
2021-11-12,202109,0,held,2330.TW
2022-02-25,202112,1,FY2022 guide RAISED sharply,2330.TW
2022-05-13,202203,0,held,2330.TW
2022-08-12,202206,0,held,2330.TW
2022-11-14,202209,1,FY2022 CUT (inventory correction),2330.TW
2023-02-24,202212,1,FY2023 guide,2330.TW
2023-05-12,202303,1,FY2023 tighten to low end,2330.TW
2023-08-14,202306,0,held,2330.TW
2023-11-14,202309,1,FY2023 reconfirm,2330.TW
2024-02-29,202312,1,FY2024 guide,2330.TW
2024-05-15,202403,0,held,2330.TW
2024-08-14,202406,0,held,2330.TW
2024-11-14,202409,1,FY2024 narrow to high end,2330.TW
2025-02-27,202412,1,FY2025 guide RAISED,2330.TW
2025-05-15,202503,0,held,2330.TW
2025-08-14,202506,0,held,2330.TW
2025-11-14,202509,1,FY2025 RAISED to 42bn,2330.TW
