section,location,description,value,unit,source_exp,notes
abstract,abstract,TAIEX diversification amplification,4.6,x,"K892 (via body.tex)","4.6x = TWII gamma 0.272 / 10-stock avg gamma 0.060"
abstract,abstract,TAIEX gamma (GJR),0.272,coefficient,K892,"TWII rolling_w2000 last window = 0.261; full_sample = 0.109"
abstract,abstract,TAIEX gamma t-stat,3.18,t-stat,K892,"TWII rolling last t=3.32; full_sample t=5.62"
abstract,abstract,US benchmark amplification,2.8,x,?,"SPY 0.211 / 0.079 avg individual — 0.079 not found in any JSON"
abstract,abstract,EWMA Sharpe (B&H),0.729,ratio,?,NOT in K900 (K900 period 2019-2026 gives 1.247)"
abstract,abstract,EWMA Sharpe (VT),0.796,ratio,?,"NOT in K900; K558 base=0.472 (2010-2026)"
abstract,abstract,EWMA MDD (B&H),-41.3,%,?,"K900 2019-2026 MDD=-33.83%; K558 base MDD=-48.38%"
abstract,abstract,EWMA MDD (VT),-18.4,%,?,"K900 EWMA VT MDD=-21.17%; close but different period"
abstract,abstract,SPY->0050 correlation r,0.376,pearson r,K847,"K847 stock_gap vs SPY=0.399 (2017-2026); not exactly matching"
abstract,abstract,Alpha absorbed by overnight gap,78,%,K847,"K847 intraday shows no sig pattern; 78% claim needs specific R² calc"
abstract,abstract,VIX-proxy DM p-value,0.0005,p-value,?,VIX+Leading indicator combo claim — no direct JSON source found
sec2_data,Table 1,0050.TW n trading days,4532,days,?,"K892 n=4219; K900 n=4217; K886 n=4217 — MAJOR divergence"
sec2_data,Table 1,TWII n trading days,7148,days,?,"K892 TWII full_sample n=7044 — divergence"
sec2_data,Table 1,TWII mean daily return,0.019,%,K900,"K900 twii mean=0.038% — divergence"
sec2_data,Table 1,TWII std daily return,1.45,%,K900,"K900 twii std=1.18% — divergence"
sec2_data,Table 1,TWII skewness,-0.31,,K900,"K900 twii skew=-0.395 — approximate match"
sec2_data,Table 1,TWII kurtosis,5.82,,K900,"K900 twii kurt=5.935 — approximate match"
sec2_data,Table 1,0050.TW mean daily return,0.034,%,K900,"K900 tw50 mean=0.0724% — DIVERGENT"
sec2_data,Table 1,0050.TW std daily return,1.38,%,K900,"K900 tw50 std=1.3442% — approximate match"
sec2_data,Table 1,0050.TW skewness,-0.47,,K900,"K900 tw50 skew=+0.473 — SIGN DIVERGENT"
sec2_data,Table 1,0050.TW kurtosis,4.73,,K900,"K900 tw50 kurt=19.054 — MAJOR DIVERGENCE"
sec2_data,Table 1,SPY mean daily return,0.042,%,?,"No direct JSON; approximate"
sec2_data,Table 1,SPY std daily return,1.18,%,?,"No direct JSON; reasonable"
sec2_data,Table 1,SPY skewness,-0.52,,?,"No direct JSON"
sec2_data,Table 1,SPY kurtosis,12.30,,?,"No direct JSON"
sec2_data,Table 1,TWII gamma (GJR),0.272,coefficient,K892,"K892 TWII rolling last=0.261 (~match); full_sample=0.109 (MISMATCH)"
sec2_data,Table 1,TWII t(gamma),3.18,t-stat,K892,"K892 TWII rolling last t=3.32 (~match)"
sec2_data,Table 1,0050.TW gamma (GJR),0.087,coefficient,K892,"K892 closest full_sample=0.097; t-match config=0.136 — unresolved"
sec2_data,Table 1,0050.TW t(gamma),2.20,t-stat,K892,"K892 t-stat matches to last_2000 window (gamma=0.136 not 0.087)"
sec2_data,Table 1,SPY gamma (GJR),0.211,coefficient,K892,"K892 SPY rolling mean=0.214 (~match)"
sec2_data,Table 1,SPY t(gamma),5.79,t-stat,K892,"K892 SPY rolling mean t=5.31 (~match)"
sec2_data,Table 1,TSMC gamma,0.039,coefficient,K892,"K892 TSMC full_sample=0.0525; rolling last=0.0478 — close"
sec2_data,Table 1,TSMC t(gamma),0.87,t-stat,K892,"K892 TSMC rolling last t=1.34 — divergent"
sec2_data,Table 1,10-stock avg gamma,0.060,coefficient,?,"Sum is implied; paper notes 10-stock avg; K892 confirms individual stocks"
sec3_leverage,body.tex:166,Diversification amplification (TAIEX),4.6,x,K892,"K892 confirms TWII/0050 pattern but specific 4.6x is from 0.272/0.060"
sec3_leverage,body.tex:166,US amplification ratio,2.8,x,?,"SPY 0.211 / avg 0.079; 0.079 not in any experiment JSON"
sec3_leverage,body.tex:166,0050.TW amplification ratio,1.45,x,K892,"0.087/0.060=1.45; both gammas uncertain (see above)"
sec3_leverage,body.tex:172,Down-day minus up-day corr (Taiwan),0.058,,?,"No experiment JSON provides Taiwan pairwise correlation asymmetry"
sec3_leverage,body.tex:172,Down-day minus up-day corr (US),0.042,,?,"Cited from Ang&Chen(2002), not recomputed"
sec3_leverage,body.tex:172,Down-day minus up-day corr (Japan),0.071,,?,"Cited from Ang&Chen(2002), not recomputed"
sec3_spillover,body.tex:191,SPY->0050 c2c correlation,0.376,pearson r,K847,"K847 stock_gap vs SPY=0.399; gap_e vs SPY=-0.016 — NOT exact match"
sec3_spillover,body.tex:191,SPY->0050 t-stat,24.8,t-stat,?,"No JSON provides this specific t-stat"
sec3_spillover,body.tex:193,VIX Granger F-stat,58.8,F-stat,?,"No experiment JSON provides this Granger F=58.8"
sec3_spillover,body.tex:193,VIX Granger p-value,<0.001,p-value,?,"No experiment JSON"
sec3_spillover,body.tex:193,TWD/USD p-value (after VIX),0.08,p-value,?,"No experiment JSON"
sec3_spillover,body.tex:196,SSVS SPY PIP,1.000,PIP,K461,"K461 SPY_ret_L1 PIP=1.0 — CONFIRMED"
sec3_spillover,body.tex:207,0050.TW lagged own return PIP,0.312,PIP,K461,"K461 AR(1) PIP=0.9994 — DIVERGENT (paper says 0.312 for own return)"
sec4_vt,Table 3,Buy&Hold Sharpe,0.729,ratio,?,"K900 OOS 2019-2026 gives 1.247; K558 2010-2026 base=0.472; no 2010-2026 EWMA-VT JSON"
sec4_vt,Table 3,Buy&Hold MDD,-41.3,%,?,"K900 gives -33.83% (2019-2026); K558 gives -48.38% (2010-2026)"
sec4_vt,Table 3,EWMA VT Sharpe,0.796,ratio,?,"No JSON with 2010-2026 period"
sec4_vt,Table 3,EWMA VT MDD,-18.4,%,?,"K900: -21.17% (2019-2026); close but different period"
sec4_vt,Table 3,GARCH VT Sharpe,0.994,ratio,?,"No JSON covers 2020-2026 GARCH-VT with Sharpe=0.994"
sec4_vt,Table 3,GARCH VT MDD,-16.8,%,?,"No matching JSON"
sec4_vt,Table 3,GJR VT Sharpe,1.108,ratio,?,"K900 GJR VT Sharpe=1.292 (2019-2026); different period"
sec4_vt,Table 3,GJR VT MDD,-15.1,%,?,"K900: -22.21%; divergent"
sec4_vt,Table 3,8.63/VIX Sharpe,0.690,ratio,K900,"K900 (2019-2026) gives 1.259; paper says covers 2016-2026; NOT matching"
sec4_vt,Table 3,8.63/VIX MDD,-15.3,%,K900,"K900 gives -13.71%; approximate match direction, different magnitude"
sec4_vt,Table 3,8.63/VIX Ann Return,7.2,%,?,"K900: 12.15% (2019-2026) — divergent"
sec4_vt,Table 3,Student-t VaR violation rate,0.5,%,K896,"K896 GJR+Student-t=1.03% (18/1756); GJR+CF=0.51% (9/1756) — close to CF not Student-t"
sec4_vt,Table 3,Student-t VaR violations count,8,count,K896,"K896: GJR+Student-t has 18; GJR+CF has 9 — mismatch"
