date,USDC_mcap_usd
2018-09-11,2.0
2018-09-12,2.0
2018-09-13,3.0
2018-09-14,3.0
2018-09-15,3.0
2018-09-16,3.0
2018-09-17,3.0
2018-09-18,3.0
2018-09-19,3.0
2018-09-20,3.0
2018-09-21,3.0
2018-09-22,3.0
2018-09-23,4.0
2018-09-24,4.0
2018-09-25,8.0
2018-09-26,10.0
2018-09-27,2109629.0
2018-09-28,3110019.0
2018-09-29,3110439.0
2018-09-30,3110689.0
2018-10-01,3110979.0
2018-10-02,5116480.0
2018-10-03,5116480.0
2018-10-04,6117444.0
2018-10-05,8117358.0
2018-10-06,10342478.0
2018-10-07,10342478.0
2018-10-08,10342478.0
2018-10-09,10342447.0
2018-10-10,10744407.0
2018-10-11,10751216.0
2018-10-12,10978779.0
2018-10-13,12178914.0
2018-10-14,12179914.0
2018-10-15,12179914.0
2018-10-16,23803534.0
2018-10-17,23813004.0
2018-10-18,23817092.0
2018-10-19,23832917.0
2018-10-20,23835732.0
2018-10-21,23841602.0
2018-10-22,23841602.0
2018-10-23,33727900.0
2018-10-24,84747910.0
2018-10-25,124356372.0
2018-10-26,124361372.0
2018-10-27,124260006.0
2018-10-28,124235275.0
2018-10-29,124210464.0
2018-10-30,125220034.0
2018-10-31,127365040.0
2018-11-01,127363005.0
2018-11-02,127282936.0
2018-11-03,132268016.0
2018-11-04,132258908.0
2018-11-05,132233908.0
2018-11-06,134211906.0
2018-11-07,134200799.0
2018-11-08,134268696.0
2018-11-09,134067568.0
2018-11-10,134074067.0
2018-11-11,134074067.0
2018-11-12,134099072.0
2018-11-13,133820145.0
2018-11-14,138828150.0
2018-11-15,142652061.0
2018-11-16,143176216.0
2018-11-17,142718306.0
2018-11-18,142775893.0
2018-11-19,142776001.0
2018-11-20,142555760.0
2018-11-21,156642323.0
2018-11-22,162751442.0
2018-11-23,163000512.0
2018-11-24,166009712.0
2018-11-25,166137219.0
2018-11-26,166081571.0
2018-11-27,165839943.0
2018-11-28,168670379.0
2018-11-29,171691928.0
2018-11-30,176637391.0
2018-12-01,176515563.0
2018-12-02,176515608.0
2018-12-03,176516608.0
2018-12-04,176432312.0
2018-12-05,176594226.0
2018-12-06,178080906.0
2018-12-07,181176264.0
2018-12-08,184893944.0
2018-12-09,185011239.0
2018-12-10,184987242.0
2018-12-11,189969149.0
2018-12-12,189406403.0
2018-12-13,191549715.0
2018-12-14,192920550.0
2018-12-15,201572432.0
2018-12-16,201824264.0
2018-12-17,201808705.0
2018-12-18,211487981.0
2018-12-19,214004445.0
2018-12-20,222892827.0
2018-12-21,226182365.0
2018-12-22,228014132.0
2018-12-23,227987032.0
2018-12-24,227963219.0
2018-12-25,227586496.0
2018-12-26,227631900.0
2018-12-27,227631737.0
2018-12-28,237096589.0
2018-12-29,241551053.0
2018-12-30,246085208.0
2018-12-31,246142145.0
2019-01-01,250087487.0
2019-01-02,257922895.0
2019-01-03,284161582.0
2019-01-04,286864670.0
2019-01-05,291244899.0
2019-01-06,291214025.0
2019-01-07,302341373.0
2019-01-08,314873964.0
2019-01-09,324564646.0
2019-01-10,342268109.0
2019-01-11,344833698.0
2019-01-12,351581975.0
2019-01-13,361028960.0
2019-01-14,368307846.0
2019-01-15,360989470.0
2019-01-16,356447480.0
2019-01-17,317569445.0
2019-01-18,313461185.0
2019-01-19,322154670.0
2019-01-20,322151552.0
2019-01-21,322108798.0
2019-01-22,324721060.0
2019-01-23,329708866.0
2019-01-24,312692332.0
2019-01-25,320099673.0
2019-01-26,322907950.0
2019-01-27,322713060.0
2019-01-28,328998264.0
2019-01-29,314405272.0
2019-01-30,314110429.0
2019-01-31,314029964.0
2019-02-01,294118009.0
2019-02-02,298350242.0
2019-02-03,298298640.0
2019-02-04,298283047.0
2019-02-05,288510038.0
2019-02-06,288524015.0
2019-02-07,288135387.0
2019-02-08,273075215.0
2019-02-09,258118248.0
2019-02-10,258545052.0
2019-02-11,258289271.0
2019-02-12,258008758.0
2019-02-13,258268827.0
2019-02-14,244021075.0
2019-02-15,243796118.0
2019-02-16,244421667.0
2019-02-17,244320394.0
2019-02-18,244305946.0
2019-02-19,244427040.0
2019-02-20,244411448.0
2019-02-21,245443530.0
2019-02-22,230363178.0
2019-02-23,230024936.0
2019-02-24,230318776.0
2019-02-25,230346974.0
2019-02-26,231194083.0
2019-02-27,233428587.0
2019-02-28,235574019.0
2019-03-01,236390799.0
2019-03-02,239091194.0
2019-03-03,239604445.0
2019-03-04,239596677.0
2019-03-05,240476075.0
2019-03-06,241169664.0
2019-03-07,241788157.0
2019-03-08,231228366.0
2019-03-09,237272514.0
2019-03-10,237319720.0
2019-03-11,237305100.0
