Date,vix_adjusted_close,n225_adjusted_open,n225_adjusted_close,n225_vix_source_date,n225_vix_signal,topix_etf_adjusted_open,topix_etf_adjusted_close,topix_etf_vix_source_date,topix_etf_vix_signal
1990-01-02,17.239999771118164,,,,,,,,
1990-01-03,18.190000534057617,,,,,,,,
1990-01-04,19.219999313354492,38921.6484375,38712.87890625,,,,,,
1990-01-05,20.110000610351562,38717.48828125,38274.76171875,,,,,,
1990-01-08,20.260000228881836,38331.62890625,38294.9609375,,,,,,
1990-01-09,22.200000762939453,38281.23046875,37951.4609375,,,,,,
1990-01-10,22.440000534057617,37927.62890625,37696.51171875,,,,,,
1990-01-11,20.049999237060547,37705.73046875,38170.12890625,,,,,,
1990-01-12,24.639999389648438,38129.5390625,37516.76953125,,,,,,
1990-01-15,26.34000015258789,,,,,,,,
1990-01-16,24.18000030517578,37469.41015625,36850.359375,,,,,,
1990-01-17,24.15999984741211,36894.1015625,36821.140625,,,,,,
1990-01-18,24.34000015258789,36833.5,36729.4609375,,,,,,
1990-01-19,22.5,36703.5703125,36836.5390625,,,,,,
1990-01-22,26.700000762939453,36853.109375,37257.01171875,,,,,,
1990-01-23,24.719999313354492,37212.87890625,37378.01953125,,,,,,
1990-01-24,25.389999389648438,37396.3515625,36778.98046875,,,,,,
1990-01-25,25.6299991607666,36822.01953125,36969.109375,,,,,,
1990-01-26,26.280000686645508,36977.73828125,36874.0703125,,,,,,
1990-01-29,26.440000534057617,36912.51171875,37173.69921875,,,,,,
1990-01-30,27.25,37210.078125,37215.671875,,,,,,
1990-01-31,25.360000610351562,37200.921875,37188.94921875,,,,,,
1990-02-01,24.8700008392334,37242.03125,37206.421875,,,,,,
1990-02-02,24.31999969482422,37256.05859375,37650.1484375,,,,,,
1990-02-05,24.540000915527344,37676.83984375,37631.41015625,,,,,,
1990-02-06,24.690000534057617,37679.78125,37666.828125,,,,,,
1990-02-07,24.290000915527344,37684.390625,37301.87109375,,,,,,
1990-02-08,23.770000457763672,37346.12109375,37516.23828125,,,,,,
1990-02-09,23.690000534057617,37509.0703125,37288.140625,,,,,,
1990-02-12,24.3799991607666,,,,,,,,
1990-02-13,23.760000228881836,37319.53125,37107.03125,,,,,,
1990-02-14,22.049999237060547,37124.890625,37155.890625,,,,,,
1990-02-15,19.709999084472656,37186.3984375,37471.98828125,,,,,,
