ticker,event_date_utc
000660.KS,2024-01-25
000660.KS,2024-04-24
000660.KS,2024-07-25
000660.KS,2024-10-24
000660.KS,2025-01-23
000660.KS,2025-04-24
000660.KS,2025-07-24
000660.KS,2025-10-29
005380.KS,2024-03-06
005380.KS,2024-05-16
005380.KS,2024-08-14
005380.KS,2024-11-14
005380.KS,2025-03-05
005380.KS,2025-05-15
005380.KS,2025-08-14
005380.KS,2025-11-14
005930.KS,2024-01-30
005930.KS,2024-04-29
005930.KS,2024-07-30
005930.KS,2024-10-30
005930.KS,2025-01-31
005930.KS,2025-04-29
005930.KS,2025-07-31
005930.KS,2025-10-30
0388.HK,2024-02-29
0388.HK,2024-04-24
0388.HK,2024-08-21
0388.HK,2024-10-23
0388.HK,2025-02-27
0388.HK,2025-04-30
0388.HK,2025-08-20
0388.HK,2025-11-05
0700.HK,2024-03-20
0700.HK,2024-05-14
0700.HK,2024-08-14
0700.HK,2024-11-13
0700.HK,2025-03-19
0700.HK,2025-05-14
0700.HK,2025-08-13
0700.HK,2025-11-13
0939.HK,2024-03-28
0939.HK,2024-04-29
0939.HK,2024-08-30
0939.HK,2024-10-30
0939.HK,2025-03-28
0939.HK,2025-04-29
0939.HK,2025-08-29
0939.HK,2025-10-30
2303.TW,2024-01-31
2303.TW,2024-04-24
2303.TW,2024-07-31
2303.TW,2024-10-30
2303.TW,2025-01-21
2303.TW,2025-04-23
2303.TW,2025-07-30
2303.TW,2025-10-29
2317.TW,2024-03-15
2317.TW,2024-05-14
2317.TW,2024-08-14
2317.TW,2024-11-14
2317.TW,2025-03-17
2317.TW,2025-05-14
2317.TW,2025-08-14
2317.TW,2025-11-14
2330.TW,2024-01-18
2330.TW,2024-04-18
2330.TW,2024-07-18
2330.TW,2024-10-17
2330.TW,2025-01-16
2330.TW,2025-04-17
2330.TW,2025-07-17
2330.TW,2025-10-16
2454.TW,2024-01-31
2454.TW,2024-04-26
2454.TW,2024-07-31
2454.TW,2024-10-30
2454.TW,2025-02-07
2454.TW,2025-04-30
2454.TW,2025-07-30
2454.TW,2025-10-31
6758.T,2024-02-14
6758.T,2024-05-14
6758.T,2024-08-07
6758.T,2024-11-08
6758.T,2025-02-13
6758.T,2025-05-14
6758.T,2025-08-07
6758.T,2025-11-11
7203.T,2024-02-06
7203.T,2024-05-08
7203.T,2024-08-01
7203.T,2024-11-06
7203.T,2025-02-05
7203.T,2025-05-08
7203.T,2025-08-07
7203.T,2025-11-05
7974.T,2024-02-06
7974.T,2024-05-07
7974.T,2024-08-02
7974.T,2024-11-05
7974.T,2025-02-04
7974.T,2025-05-08
7974.T,2025-08-01
7974.T,2025-11-04
8035.T,2024-02-09
8035.T,2024-05-10
8035.T,2024-08-08
8035.T,2024-11-12
8035.T,2025-02-06
8035.T,2025-04-30
8035.T,2025-07-31
8035.T,2025-10-31
AAPL,2024-02-01
AAPL,2024-05-02
AAPL,2024-08-01
AAPL,2024-10-31
AAPL,2025-01-30
AAPL,2025-05-01
AAPL,2025-07-31
AAPL,2025-10-30
ABEV3.SA,2024-02-29
ABEV3.SA,2024-05-08
ABEV3.SA,2024-08-01
ABEV3.SA,2024-10-31
ABEV3.SA,2025-02-26
ABEV3.SA,2025-05-08
ABEV3.SA,2025-07-31
ABEV3.SA,2025-10-30
ADS.DE,2024-03-13
ADS.DE,2024-04-30
ADS.DE,2024-07-31
ADS.DE,2024-10-29
ADS.DE,2025-03-04
ADS.DE,2025-04-29
ADS.DE,2025-07-30
ADS.DE,2025-10-28
AMZN,2024-02-01
AMZN,2024-04-30
AMZN,2024-08-01
AMZN,2024-10-31
AMZN,2025-02-06
AMZN,2025-05-01
AMZN,2025-07-31
AMZN,2025-10-30
ASML.AS,2024-01-24
ASML.AS,2024-04-17
ASML.AS,2024-07-17
ASML.AS,2024-10-15
ASML.AS,2025-01-29
ASML.AS,2025-04-16
ASML.AS,2025-07-16
ASML.AS,2025-10-15
B3SA3.SA,2024-02-22
B3SA3.SA,2024-05-09
B3SA3.SA,2024-08-08
B3SA3.SA,2024-11-13
B3SA3.SA,2025-02-20
B3SA3.SA,2025-05-08
B3SA3.SA,2025-08-07
B3SA3.SA,2025-11-11
CNQ.TO,2024-02-29
CNQ.TO,2024-05-02
CNQ.TO,2024-08-01
CNQ.TO,2024-10-31
CNQ.TO,2025-03-06
CNQ.TO,2025-05-08
CNQ.TO,2025-08-07
CNQ.TO,2025-11-06
CP.TO,2024-01-30
CP.TO,2024-04-24
CP.TO,2024-07-30
CP.TO,2024-10-23
CP.TO,2025-01-29
CP.TO,2025-04-30
CP.TO,2025-07-30
CP.TO,2025-10-29
ENB.TO,2024-02-09
ENB.TO,2024-05-10
ENB.TO,2024-08-02
ENB.TO,2024-11-01
ENB.TO,2025-02-14
ENB.TO,2025-05-09
ENB.TO,2025-08-01
ENB.TO,2025-11-07
ICICIBANK.NS,2024-01-20
ICICIBANK.NS,2024-04-27
ICICIBANK.NS,2024-07-27
