ticker,market,names
2330.TW,TW,tsmc|taiwan semiconductor
2454.TW,TW,mediatek
2317.TW,TW,hon hai|foxconn
2303.TW,TW,united microelectronics|umc
AMZN,US,amazon.com|amazon
META,US,meta platforms|facebook| meta 
NVDA,US,nvidia
AAPL,US,apple inc|apple
7974.T,JP,nintendo
6758.T,JP,sony group|sony corp|sony
8035.T,JP,tokyo electron
7203.T,JP,toyota motor|toyota
ADS.DE,EU,adidas
SAP.DE,EU, sap |sap se|sap ag
MBG.DE,EU,mercedes-benz|mercedes benz|daimler
ASML.AS,EU,asml
MC.PA,EU,lvmh|louis vuitton
000660.KS,KR,sk hynix|hynix
005930.KS,KR,samsung electronics
005380.KS,KR,hyundai motor
ENB.TO,CA,enbridge
CP.TO,CA,canadian pacific
CNQ.TO,CA,canadian natural resources
0700.HK,HK,tencent
0388.HK,HK,hong kong exchanges|hkex
0939.HK,HK,china construction bank
ABEV3.SA,BR,ambev|anheuser-busch inbev brazil
RENT3.SA,BR,localiza
B3SA3.SA,BR, b3 sa|brasil bolsa balcao
TCS.NS,IN,tata consultancy| tcs 
INFY.NS,IN,infosys
ICICIBANK.NS,IN,icici bank
