Date,CAT
2004-01-02,23.93785858154297
2004-01-05,24.58952522277832
2004-01-06,24.155073165893555
2004-01-07,23.89150619506836
2004-01-08,23.70615005493164
2004-01-09,23.30067253112793
2004-01-12,23.87993049621582
2004-01-13,23.894418716430664
2004-01-14,24.241954803466797
2004-01-15,24.256515502929688
2004-01-16,24.477602005004883
2004-01-20,23.8986873626709
2004-01-21,24.2623233795166
2004-01-22,24.4368839263916
2004-01-23,24.486345291137695
2004-01-26,24.730697631835938
2004-01-27,23.855060577392578
2004-01-28,23.16267204284668
2004-01-29,22.476110458374023
2004-01-30,22.729198455810547
2004-02-02,22.543004989624023
2004-02-03,22.4121150970459
2004-02-04,22.080474853515625
2004-02-05,22.202655792236328
2004-02-06,22.83684539794922
2004-02-09,22.595382690429688
2004-02-10,22.27246856689453
2004-02-11,22.970672607421875
2004-02-12,22.89211654663086
2004-02-13,22.522655487060547
2004-02-17,23.13357925415039
2004-02-18,22.95611572265625
2004-02-19,22.8455753326416
2004-02-20,22.348106384277344
2004-02-23,22.4644775390625
2004-02-24,22.313194274902344
2004-02-25,22.452838897705078
2004-02-26,22.67684555053711
2004-02-27,22.036828994750977
2004-03-01,22.353933334350586
2004-03-02,22.572111129760742
2004-03-03,22.49356460571289
2004-03-04,22.37139129638672
2004-03-05,22.217193603515625
2004-03-08,22.36847496032715
2004-03-09,22.225921630859375
2004-03-10,21.385177612304688
2004-03-11,21.280454635620117
2004-03-12,21.798276901245117
2004-03-15,21.521909713745117
2004-03-16,21.92046356201172
2004-03-17,22.4644775390625
2004-03-18,22.458648681640625
2004-03-19,22.196840286254883
2004-03-22,21.96410369873047
2004-03-23,22.065921783447266
2004-03-24,22.205562591552734
2004-03-25,22.44411277770996
2004-03-26,22.528478622436523
2004-03-29,23.12194061279297
2004-03-30,23.273218154907227
2004-03-31,23.00267219543457
2004-04-01,22.982295989990234
2004-04-02,23.622318267822266
2004-04-05,23.974323272705078
2004-04-06,24.119773864746094
2004-04-07,23.884145736694336
2004-04-08,23.849225997924805
2004-04-12,24.36414909362793
2004-04-13,23.860858917236328
2004-04-14,23.572856903076172
2004-04-15,23.505952835083008
2004-04-16,23.846330642700195
2004-04-19,23.564130783081055
2004-04-20,23.26740837097168
2004-04-21,23.587406158447266
2004-04-22,24.578126907348633
2004-04-23,23.952713012695312
2004-04-26,23.642942428588867
