date,total_call,total_put,total_total,total_pcr
2004-03-03,619970,442675,1062645,0.71
2004-03-04,669444,475721,1145165,0.71
2004-03-05,696919,549202,1246121,0.79
2004-03-08,757246,620432,1377678,0.82
2004-03-09,830649,803092,1633741,0.97
2004-03-10,942219,853517,1795736,0.91
2004-03-11,911050,1097093,2008143,1.2
2004-03-12,758249,795143,1553392,1.05
2004-03-15,722084,761678,1483762,1.05
2004-03-16,784976,830306,1615282,1.06
2004-03-17,1001423,807241,1808664,0.81
2004-03-18,876364,700998,1577362,0.8
2004-03-19,853502,881695,1735197,1.03
2004-03-22,867817,839966,1707783,0.97
2004-03-23,819911,554977,1374888,0.68
2004-03-24,690843,605230,1296073,0.88
2004-03-25,976574,679442,1656016,0.7
2004-03-26,584342,449027,1033369,0.77
2004-03-29,727022,484474,1211496,0.67
2004-03-30,685330,418968,1104298,0.61
2004-03-31,617784,812143,1429927,1.31
2004-04-01,862321,524115,1386436,0.61
2004-04-02,1154470,788367,1942837,0.68
2004-04-05,957355,637365,1594720,0.67
2004-04-06,846971,692316,1539287,0.82
2004-04-07,721673,506208,1227881,0.7
2004-04-08,701853,516837,1218690,0.74
2004-04-12,616446,473888,1090334,0.77
2004-04-13,856548,785025,1641573,0.92
2004-04-14,852572,698987,1551559,0.82
2004-04-15,1005497,846617,1852114,0.84
2004-04-16,1220955,936934,2157889,0.77
2004-04-19,794760,531366,1326126,0.67
2004-04-20,833531,677967,1511498,0.81
2004-04-21,776135,530939,1307074,0.68
2004-04-22,977611,617591,1595202,0.63
2004-04-23,750552,526044,1276596,0.7
2004-04-26,618295,407195,1025490,0.66
2004-04-27,876032,627839,1503871,0.72
2004-04-28,817411,720636,1538047,0.88
2004-04-29,797749,798591,1596340,1.0
2004-04-30,794028,811936,1605964,1.02
2004-05-03,604159,490665,1094824,0.81
2004-05-04,698925,467344,1166269,0.67
2004-05-05,533593,475515,1009108,0.89
2004-05-06,543069,682891,1225960,1.26
2004-05-07,684716,693425,1378141,1.01
2004-05-10,872813,1118006,1990819,1.28
2004-05-11,799195,885934,1685129,1.11
2004-05-12,849269,949087,1798356,1.12
2004-05-13,684749,692405,1377154,1.01
2004-05-14,530308,516156,1046464,0.97
2004-05-17,622932,761623,1384555,1.22
2004-05-18,716116,710531,1426647,0.99
2004-05-19,968473,772361,1740834,0.8
2004-05-20,642507,778148,1420655,1.21
2004-05-21,868694,973948,1842642,1.12
2004-05-24,687410,526740,1214150,0.77
2004-05-25,829079,748788,1577867,0.9
2004-05-26,618924,623225,1242149,1.01
2004-05-27,648734,608932,1257666,0.94
2004-05-28,388547,407570,796117,1.05
2004-06-01,500343,467935,968278,0.94
2004-06-02,581605,531082,1112687,0.91
2004-06-03,518239,585165,1103404,1.13
2004-06-04,569900,580062,1149962,1.02
2004-06-07,751705,637981,1389686,0.85
2004-06-08,617310,531082,1148392,0.86
2004-06-09,563453,520110,1083563,0.92
2004-06-10,486746,559901,1046647,1.15
2004-06-14,538233,710300,1248533,1.32
2004-06-15,737671,578207,1315878,0.78
2004-06-16,740529,513345,1253874,0.69
2004-06-17,818546,647093,1465639,0.79
2004-06-18,1095854,878324,1974178,0.8
2004-06-21,690718,573578,1264296,0.83
2004-06-22,761243,620003,1381246,0.81
2004-06-23,738101,614036,1352137,0.83
2004-06-24,861415,572208,1433623,0.66
2004-06-25,567925,385072,952997,0.68
2004-06-28,837842,517724,1355566,0.62
2004-06-29,589137,511491,1100628,0.87
2004-06-30,684227,531961,1216188,0.78
2004-07-01,736874,686859,1423733,0.93
2004-07-02,559886,453271,1013157,0.81
2004-07-06,654782,705568,1360350,1.08
2004-07-07,602726,597852,1200578,0.99
2004-07-08,731641,667630,1399271,0.91
2004-07-09,614062,457710,1071772,0.75
2004-07-12,542641,635693,1178334,1.17
2004-07-13,636712,505934,1142646,0.79
2004-07-14,939151,883419,1822570,0.94
2004-07-15,935067,771837,1706904,0.83
2004-07-16,1003161,1124042,2127203,1.12
2004-07-19,851240,599463,1450703,0.7
2004-07-20,811128,531659,1342787,0.66
2004-07-21,840775,642570,1483345,0.76
2004-07-22,828641,735463,1564104,0.89
2004-07-23,566657,460356,1027013,0.81
2004-07-26,726589,587961,1314550,0.81
2004-07-27,720204,520685,1240889,0.72
2004-07-28,756943,514160,1271103,0.68
2004-07-29,671863,435720,1107583,0.65
2004-07-30,544250,344652,888902,0.63
2004-08-02,484103,381474,865577,0.79
2004-08-03,488837,358603,847440,0.73
2004-08-04,528603,488441,1017044,0.92
2004-08-05,611312,525243,1136555,0.86
2004-08-06,753807,1042286,1796093,1.38
2004-08-09,548918,512333,1061251,0.93
2004-08-10,606837,622547,1229384,1.03
2004-08-11,712094,631782,1343876,0.89
2004-08-12,658641,695880,1354521,1.06
2004-08-13,575679,585383,1161062,1.02
2004-08-16,628640,532805,1161445,0.85
2004-08-17,711771,678781,1390552,0.95
2004-08-18,836750,816418,1653168,0.98
2004-08-19,824248,731637,1555885,0.89
2004-08-20,1049280,1001436,2050716,0.95
2004-08-23,666177,533040,1199217,0.8
2004-08-24,581836,458150,1039986,0.79
2004-08-25,623235,484308,1107543,0.78
2004-08-26,563139,472778,1035917,0.84
2004-08-27,478110,439606,917716,0.92
2004-08-30,448057,380550,828607,0.85
2004-08-31,529841,375877,905718,0.71
2004-09-01,419929,442284,862213,1.05
2004-09-02,537742,493922,1031664,0.92
2004-09-03,460669,472480,933149,1.03
2004-09-07,591019,507845,1098864,0.86
2004-09-08,522688,551202,1073890,1.05
2004-09-09,616250,558939,1175189,0.91
2004-09-10,688108,609139,1297247,0.89
2004-09-13,925613,632576,1558189,0.68
2004-09-14,741513,692059,1433572,0.93
2004-09-15,764819,718152,1482971,0.94
2004-09-16,773434,582658,1356092,0.75
2004-09-17,905929,753552,1659481,0.83
2004-09-20,801309,737399,1538708,0.92
2004-09-21,834590,631199,1465789,0.76
2004-09-22,629502,689662,1319164,1.1
2004-09-23,562196,518122,1080318,0.92
2004-09-24,473767,443196,916963,0.94
2004-09-27,533723,529476,1063199,0.99
2004-09-28,689020,630321,1319341,0.91
2004-09-29,731516,619402,1350918,0.85
2004-09-30,688608,594500,1283108,0.86
2004-10-01,912411,886252,1798663,0.97
2004-10-04,969493,829529,1799022,0.86
2004-10-05,849417,709061,1558478,0.83
2004-10-06,839540,658411,1497951,0.78
2004-10-07,804871,694062,1498933,0.86
2004-10-08,728114,734805,1462919,1.01
2004-10-11,540858,436159,977017,0.81
2004-10-12,773793,773814,1547607,1.0
2004-10-13,1010621,1079595,2090216,1.07
2004-10-14,955623,1023708,1979331,1.07
2004-10-15,1192356,1045784,2238140,0.88
2004-10-18,812037,627777,1439814,0.77
2004-10-19,856237,810611,1666848,0.95
2004-10-20,821342,702235,1523577,0.85
2004-10-21,779589,647548,1427137,0.83
2004-10-22,721848,536881,1258729,0.74
2004-10-25,655177,495655,1150832,0.76
2004-10-26,841443,566655,1408098,0.67
2004-10-27,1017209,709114,1726323,0.7
2004-10-28,827548,560128,1387676,0.68
2004-10-29,768397,561320,1329717,0.73
2004-11-01,612936,564343,1177279,0.92
2004-11-02,880089,673404,1553493,0.77
2004-11-03,980894,846918,1827812,0.86
2004-11-04,1044648,910493,1955141,0.87
2004-11-05,1138538,785612,1924150,0.69
2004-11-08,834336,532572,1366908,0.64
2004-11-09,878274,596088,1474362,0.68
2004-11-10,868416,603831,1472247,0.7
2004-11-11,941190,700494,1641684,0.74
2004-11-12,1147119,874194,2021313,0.76
2004-11-15,1272054,710469,1982523,0.56
2004-11-16,1007709,713584,1721293,0.71
2004-11-17,1461445,947805,2409250,0.65
2004-11-18,1161751,726699,1888450,0.63
2004-11-19,1356899,1098849,2455748,0.81
2004-11-22,861686,627011,1488697,0.73
2004-11-23,856931,678770,1535701,0.79
2004-11-24,704919,427012,1131931,0.61
2004-11-26,324971,238429,563400,0.73
2004-11-29,816180,605727,1421907,0.74
2004-11-30,597404,529019,1126423,0.89
2004-12-01,984317,720657,1704974,0.73
2004-12-02,1043161,872938,1916099,0.84
2004-12-03,892421,660400,1552821,0.74
2004-12-06,770439,580294,1350733,0.75
2004-12-07,926429,697405,1623834,0.75
2004-12-08,746399,662837,1409236,0.89
2004-12-09,874753,723012,1597765,0.83
2004-12-10,742599,464246,1206845,0.63
2004-12-13,732321,530421,1262742,0.72
2004-12-14,939542,727301,1666843,0.77
2004-12-15,1075178,672798,1747976,0.63
2004-12-16,1200757,814736,2015493,0.68
2004-12-17,1241187,1037969,2279156,0.84
2004-12-20,409058,366241,775299,0.9
2004-12-21,783169,620054,1403223,0.79
2004-12-22,631729,574492,1206221,0.91
2004-12-23,449664,376167,825831,0.84
2004-12-27,449402,376917,826319,0.84
2004-12-28,561745,387881,949626,0.69
2004-12-29,589173,532154,1121327,0.9
2004-12-30,470646,402438,873084,0.86
2004-12-31,430894,283382,714276,0.66
2005-01-03,782560,610292,1392852,0.78
2005-01-04,1071868,831280,1903148,0.78
2005-01-05,863696,824718,1688414,0.95
2005-01-06,776205,617900,1394105,0.8
2005-01-07,867875,840718,1708593,0.97
2005-01-10,764165,624201,1388366,0.82
2005-01-11,866571,741247,1607818,0.86
2005-01-12,801578,746458,1548036,0.93
2005-01-13,893271,799634,1692905,0.9
2005-01-14,843562,611182,1454744,0.72
2005-01-18,1095150,946447,2041597,0.86
2005-01-19,1019931,884732,1904663,0.87
2005-01-20,1216088,1188329,2404417,0.98
2005-01-21,1432744,1243714,2676458,0.87
2005-01-24,1135893,857058,1992951,0.75
2005-01-25,942753,779289,1722042,0.83
2005-01-26,881696,726158,1607854,0.82
2005-01-27,814116,681175,1495291,0.84
2005-01-28,892148,689060,1581208,0.77
2005-01-31,801156,615415,1416571,0.77
2005-02-01,888485,800281,1688766,0.9
2005-02-02,871818,635757,1507575,0.73
2005-02-03,811046,686884,1497930,0.85
2005-02-04,971049,729552,1700601,0.75
2005-02-07,741157,542721,1283878,0.73
2005-02-08,776723,632315,1409038,0.81
2005-02-09,848988,788168,1637156,0.93
2005-02-10,755984,743148,1499132,0.98
2005-02-11,870537,751832,1622369,0.86
2005-02-14,687506,616637,1304143,0.9
2005-02-15,969739,761609,1731348,0.79
2005-02-16,1083406,804359,1887765,0.74
2005-02-17,1086515,974098,2060613,0.9
2005-02-18,1234911,1059773,2294684,0.86
2005-02-22,1108550,898840,2007390,0.81
2005-02-23,766829,638716,1405545,0.83
2005-02-24,856434,845580,1702014,0.99
2005-02-25,991151,805772,1796923,0.81
2005-02-28,846053,585529,1431582,0.69
2005-03-01,779519,684790,1464309,0.88
2005-03-02,901245,733041,1634286,0.81
2005-03-03,811569,669055,1480624,0.82
2005-03-04,959284,779672,1738956,0.81
2005-03-07,914578,708547,1623125,0.77
2005-03-08,751803,657505,1409308,0.87
2005-03-09,902907,871681,1774588,0.97
2005-03-10,834205,844582,1678787,1.01
2005-03-11,757496,753095,1510591,0.99
2005-03-14,772955,779659,1552614,1.01
2005-03-15,1051480,897467,1948947,0.85
2005-03-16,1188112,1249413,2437525,1.05
2005-03-17,1084303,1156936,2241239,1.07
2005-03-18,1145518,1459245,2604763,1.27
2005-03-21,976922,760705,1737627,0.78
2005-03-22,915437,938724,1854161,1.03
2005-03-23,1038324,862141,1900465,0.83
2005-03-24,862404,670057,1532461,0.78
2005-03-28,761115,502311,1263426,0.66
2005-03-29,934744,908763,1843507,0.97
2005-03-30,862005,717794,1579799,0.83
2005-03-31,859907,627390,1487297,0.73
2005-04-01,865125,915501,1780626,1.06
2005-04-04,787749,692502,1480251,0.88
2005-04-05,831832,702990,1534822,0.85
2005-04-06,891211,879206,1770417,0.99
2005-04-07,948897,658040,1606937,0.69
2005-04-08,810260,757320,1567580,0.93
2005-04-11,730647,748289,1478936,1.02
2005-04-12,1087676,1285030,2372706,1.18
2005-04-13,1326824,1286230,2613054,0.97
2005-04-14,1477004,1575643,3052647,1.07
2005-04-15,1690725,2396996,4087721,1.42
2005-04-18,1286578,1278178,2564756,0.99
2005-04-19,1014107,995876,2009983,0.98
2005-04-20,1037232,1015613,2052845,0.98
2005-04-21,1213808,1031423,2245231,0.85
2005-04-22,836184,822131,1658315,0.98
2005-04-25,691510,550397,1241907,0.8
2005-04-26,814983,637677,1452660,0.78
2005-04-27,788038,837921,1625959,1.06
2005-04-28,745167,841725,1586892,1.13
2005-04-29,817984,829160,1647144,1.01
2005-05-02,631028,605038,1236066,0.96
2005-05-03,716997,611144,1328141,0.85
2005-05-04,978902,966691,1945593,0.99
2005-05-05,761733,858764,1620497,1.13
2005-05-06,660331,704353,1364684,1.07
2005-05-09,648618,544147,1192765,0.84
2005-05-10,869399,749721,1619120,0.86
2005-05-11,745254,749922,1495176,1.01
2005-05-12,853287,938589,1791876,1.1
2005-05-13,972054,994556,1966610,1.02
2005-05-16,982950,778419,1761369,0.79
2005-05-17,898335,900669,1799004,1.0
2005-05-18,1515008,1230165,2745173,0.81
2005-05-19,1298864,1017284,2316148,0.78
2005-05-20,1308498,1213829,2522327,0.93
2005-05-23,954078,776014,1730092,0.81
2005-05-24,775435,590526,1365961,0.76
2005-05-25,739735,755365,1495100,1.02
2005-05-26,863850,644268,1508118,0.75
2005-05-27,516535,420207,936742,0.81
2005-05-31,652828,649457,1302285,0.99
2005-06-01,1182912,803978,1986890,0.68
2005-06-02,701229,632859,1334088,0.9
2005-06-03,757845,749441,1507286,0.99
2005-06-06,672311,605172,1277483,0.9
2005-06-07,1001853,878033,1879886,0.88
2005-06-08,766987,705363,1472350,0.92
2005-06-09,810245,713278,1523523,0.88
2005-06-10,876064,625745,1501809,0.71
2005-06-13,820349,723469,1543818,0.88
2005-06-14,916750,767122,1683872,0.84
2005-06-15,1157534,1019985,2177519,0.88
2005-06-16,1571729,1246739,2818468,0.79
2005-06-17,1476249,1511489,2987738,1.02
2005-06-20,849395,830839,1680234,0.98
2005-06-21,722325,707158,1429483,0.98
2005-06-22,852029,750022,1602051,0.88
2005-06-23,1049451,804407,1853858,0.77
2005-06-24,779658,696983,1476641,0.89
2005-06-27,719911,687606,1407517,0.96
2005-06-28,775981,625551,1401532,0.81
2005-06-29,708575,554639,1263214,0.78
2005-06-30,929528,716570,1646098,0.77
2005-07-01,558557,560708,1119265,1.0
2005-07-05,793726,546300,1340026,0.69
2005-07-06,782277,874860,1657137,1.12
2005-07-07,922783,977510,1900293,1.06
2005-07-08,1094639,893784,1988423,0.82
2005-07-11,1090068,886167,1976235,0.81
2005-07-12,1101683,864189,1965872,0.78
2005-07-13,1046528,793669,1840197,0.76
2005-07-14,1628429,1166617,2795046,0.72
2005-07-15,1457625,1093629,2551254,0.75
2005-07-18,879816,946155,1825971,1.08
2005-07-19,1035726,836824,1872550,0.81
2005-07-20,1123510,1023840,2147350,0.91
2005-07-21,1067971,988300,2056271,0.93
2005-07-22,775027,617804,1392831,0.8
2005-07-25,741340,592858,1334198,0.8
2005-07-26,860341,730538,1590879,0.85
2005-07-27,875876,702894,1578770,0.8
2005-07-28,953350,747057,1700407,0.78
2005-07-29,930430,916780,1847210,0.99
2005-08-01,701012,657989,1359001,0.94
2005-08-02,934107,889099,1823206,0.95
2005-08-03,897207,789018,1686225,0.88
2005-08-04,830736,870520,1701256,1.05
2005-08-05,870356,998532,1868888,1.15
2005-08-08,900616,804500,1705116,0.89
2005-08-09,849447,776989,1626436,0.91
2005-08-10,1141192,1013004,2154196,0.89
2005-08-11,772561,724929,1497490,0.94
2005-08-12,904518,1156168,2060686,1.28
2005-08-15,1048470,692768,1741238,0.66
2005-08-16,1054405,1118959,2173364,1.06
2005-08-17,1144324,1171882,2316206,1.02
2005-08-18,1079888,1118998,2198886,1.04
2005-08-19,1341152,1403891,2745043,1.05
2005-08-22,1011629,900299,1911928,0.89
2005-08-23,763695,792823,1556518,1.04
2005-08-24,815363,750979,1566342,0.92
2005-08-25,696164,629851,1326015,0.9
2005-08-26,668186,802100,1470286,1.2
2005-08-29,761548,753592,1515140,0.99
2005-08-30,822850,862235,1685085,1.05
2005-08-31,1108504,928013,2036517,0.84
2005-09-01,1007027,896126,1903153,0.89
2005-09-02,659272,761324,1420596,1.15
2005-09-06,923410,869301,1792711,0.94
2005-09-07,863730,757980,1621710,0.88
2005-09-08,908382,781539,1689921,0.86
2005-09-09,1001811,778048,1779859,0.78
2005-09-12,1139175,995799,2134974,0.87
2005-09-13,1101726,1081466,2183192,0.98
2005-09-14,1179137,1054794,2233931,0.89
2005-09-15,1421876,1161431,2583307,0.82
2005-09-16,1705064,1362515,3067579,0.8
2005-09-19,1066503,962052,2028555,0.9
2005-09-20,978496,1051130,2029626,1.07
2005-09-21,1133744,1320628,2454372,1.16
2005-09-22,1105487,1554319,2659806,1.41
2005-09-23,874621,831103,1705724,0.95
2005-09-26,893262,1100864,1994126,1.23
2005-09-27,743820,601005,1344825,0.81
2005-09-28,956409,694069,1650478,0.73
2005-09-29,956479,749544,1706023,0.78
2005-09-30,910745,753491,1664236,0.83
2005-10-03,857454,781451,1638905,0.91
2005-10-04,999404,817938,1817342,0.82
2005-10-05,1259357,1240276,2499633,0.98
2005-10-06,1455342,1606540,3061882,1.1
2005-10-07,955749,907246,1862995,0.95
2005-10-10,827768,879918,1707686,1.06
2005-10-11,1062765,1265231,2327996,1.19
2005-10-12,1315106,1732169,3047275,1.32
2005-10-13,1325382,1736845,3062227,1.31
2005-10-14,1024419,1087162,2111581,1.06
2005-10-17,1108424,965732,2074156,0.87
2005-10-18,1080126,1021115,2101241,0.95
2005-10-19,1479386,1624409,3103795,1.1
2005-10-20,1608388,1690976,3299364,1.05
2005-10-21,1745215,1772063,3517278,1.02
2005-10-24,1349685,961164,2310849,0.71
2005-10-25,1081893,955444,2037337,0.88
2005-10-26,1095405,1014574,2109979,0.93
2005-10-27,1057081,1191454,2248535,1.13
2005-10-28,977932,820849,1798781,0.84
2005-10-31,1145663,1044310,2189973,0.91
2005-11-01,867954,858685,1726639,0.99
2005-11-02,1390971,988239,2379210,0.71
2005-11-03,1414654,1315026,2729680,0.93
2005-11-04,949684,839094,1788778,0.88
2005-11-07,888901,750877,1639778,0.84
2005-11-08,908703,666323,1575026,0.73
2005-11-09,1041749,867780,1909529,0.83
2005-11-10,1227317,952532,2179849,0.78
2005-11-11,974115,665957,1640072,0.68
2005-11-14,1041803,925051,1966854,0.89
2005-11-15,1130230,966649,2096879,0.86
2005-11-16,1236656,964141,2200797,0.78
2005-11-17,1780127,1266296,3046423,0.71
2005-11-18,1997898,1246786,3244684,0.62
2005-11-21,1288733,1031868,2320601,0.8
2005-11-22,1213415,1276439,2489854,1.05
2005-11-23,1259496,1014998,2274494,0.81
2005-11-25,428272,389923,818195,0.91
2005-11-28,879192,888761,1767953,1.01
2005-11-29,924290,1020628,1944918,1.1
2005-11-30,815029,694304,1509333,0.85
2005-12-01,1211374,1018709,2230083,0.84
2005-12-02,1027057,867863,1894920,0.84
2005-12-05,884573,759511,1644084,0.86
2005-12-06,1192819,925753,2118572,0.78
2005-12-07,1158556,913338,2071894,0.79
2005-12-08,982747,980764,1963511,1.0
2005-12-09,884362,724729,1609091,0.82
2005-12-12,1124911,779183,1904094,0.69
2005-12-13,1486385,913399,2399784,0.61
2005-12-14,1595293,1093180,2688473,0.69
2005-12-15,2617207,1082595,3699802,0.41
2005-12-16,1877966,1542006,3419972,0.82
2005-12-19,1356516,1281212,2637728,0.94
2005-12-20,838544,1022213,1860757,1.22
2005-12-21,1074428,761306,1835734,0.71
2005-12-22,768869,582421,1351290,0.76
2005-12-23,575731,399035,974766,0.69
2005-12-27,786571,790347,1576918,1.0
2005-12-28,635566,532185,1167751,0.84
2005-12-29,619907,563442,1183349,0.91
2005-12-30,789240,631964,1421204,0.8
2006-01-03,1231750,921025,2152775,0.75
2006-01-04,1211390,911186,2122576,0.75
2006-01-05,1217698,754592,1972290,0.62
2006-01-06,1524397,1037917,2562314,0.68
2006-01-09,1612645,1111368,2724013,0.69
2006-01-10,1487716,1049439,2537155,0.71
2006-01-11,1680182,1059668,2739850,0.63
2006-01-12,1362697,1009912,2372609,0.74
2006-01-13,1116577,871862,1988439,0.78
2006-01-17,1403989,1092987,2496976,0.78
2006-01-18,1506999,1432445,2939444,0.95
2006-01-19,2039523,1769040,3808563,0.87
2006-01-20,2586473,2804347,5390820,1.08
2006-01-23,1651547,1452756,3104303,0.88
2006-01-24,2026688,1150791,3177479,0.57
2006-01-25,1506757,1289904,2796661,0.86
2006-01-26,1499425,1046100,2545525,0.7
2006-01-27,1587084,1272343,2859427,0.8
2006-01-30,1296846,858098,2154944,0.66
2006-01-31,1160275,943771,2104046,0.81
2006-02-01,1187205,1100153,2287358,0.93
2006-02-02,1224413,1179212,2403625,0.96
2006-02-03,1089238,1181378,2270616,1.08
2006-02-06,959141,806456,1765597,0.84
2006-02-07,1229613,1163384,2392997,0.95
2006-02-08,1184646,932423,2117069,0.79
2006-02-09,1369838,1037626,2407464,0.76
2006-02-10,1434617,971049,2405666,0.68
2006-02-13,1045383,1058797,2104180,1.01
2006-02-14,1468222,1264886,2733108,0.86
2006-02-15,1802511,1280467,3082978,0.71
2006-02-16,1884978,1317809,3202787,0.7
2006-02-17,1974985,1631596,3606581,0.83
2006-02-21,1321574,1197002,2518576,0.91
2006-02-22,1300112,947775,2247887,0.73
2006-02-23,1048676,876721,1925397,0.84
2006-02-24,950018,881133,1831151,0.93
2006-02-27,1156250,834063,1990313,0.72
2006-02-28,1317979,1196270,2514249,0.91
2006-03-01,1180460,839726,2020186,0.71
2006-03-02,1200049,1137696,2337745,0.95
2006-03-03,1146805,993888,2140693,0.87
2006-03-06,1140663,1047355,2188018,0.92
2006-03-07,1267851,1292947,2560798,1.02
2006-03-08,1299486,1249069,2548555,0.96
2006-03-09,1078573,1028510,2107083,0.95
2006-03-10,1198281,1042131,2240412,0.87
2006-03-13,1038406,908681,1947087,0.88
2006-03-14,1454308,1117925,2572233,0.77
2006-03-15,1649123,1179721,2828844,0.72
2006-03-16,4312580,1391257,5703837,0.32
2006-03-17,1995561,1584939,3580500,0.79
2006-03-20,1366147,1201606,2567753,0.88
2006-03-21,1245534,1191075,2436609,0.96
2006-03-22,1070063,1049279,2119342,0.98
2006-03-23,944087,836797,1780884,0.89
2006-03-24,1030236,870409,1900645,0.84
2006-03-27,893002,778661,1671663,0.87
2006-03-28,1108691,1167224,2275915,1.05
2006-03-29,1108439,905655,2014094,0.82
2006-03-30,1111047,922332,2033379,0.83
2006-03-31,991451,822988,1814439,0.83
2006-04-03,1132616,768551,1901167,0.68
2006-04-04,1131575,925994,2057569,0.82
2006-04-05,1167753,999748,2167501,0.86
2006-04-06,1405009,1100844,2505853,0.78
2006-04-07,1235005,1129594,2364599,0.91
2006-04-10,1069159,904458,1973617,0.85
2006-04-11,1348355,1375260,2723615,1.02
2006-04-12,1058620,876935,1935555,0.83
2006-04-13,973006,836311,1809317,0.86
2006-04-17,1299570,1051890,2351460,0.81
2006-04-18,2096839,1456879,3553718,0.69
2006-04-19,2008389,1384258,3392647,0.69
2006-04-20,2151824,1677351,3829175,0.78
2006-04-21,2473888,2294773,4768661,0.93
2006-04-24,1431977,1201194,2633171,0.84
2006-04-25,1400891,1325728,2726619,0.95
2006-04-26,1316310,1410725,2727035,1.07
2006-04-27,1756469,1293321,3049790,0.74
2006-04-28,1364992,1193418,2558410,0.87
2006-05-01,1248209,1141471,2389680,0.91
2006-05-02,1227758,1077069,2304827,0.88
2006-05-03,1263389,1149494,2412883,0.91
2006-05-04,1475298,950011,2425309,0.64
2006-05-05,1487412,1214808,2702220,0.82
2006-05-08,1240515,1160838,2401353,0.94
2006-05-09,1297683,1130012,2427695,0.87
2006-05-10,1467607,1220251,2687858,0.83
2006-05-11,1895309,1822179,3717488,0.96
2006-05-12,1845711,2349127,4194838,1.27
2006-05-15,1690954,2082127,3773081,1.23
2006-05-16,1559447,1578382,3137829,1.01
2006-05-17,2064401,3136221,5200622,1.52
