location,context,number,unit,likely_source_K
abstract,Spearman rho equity-type gamma vs trend_beta,0.886,correlation,K799/K902
abstract,p-value equity-type rho,0.019,p-value,K799/K902
abstract,OOS rho gamma 2010-2017 predicting 2018-2026,0.821,correlation,unknown
abstract,diverse-asset rho (12 assets),−0.448,correlation,unknown
abstract,diverse-asset p-value,0.14,p-value,unknown
abstract,MDD-base_vol Spearman rho,0.944,correlation,unknown
abstract,c2c Sharpe global portfolio,1.61,Sharpe ratio,unknown
abstract,c2c t-stat global portfolio,4.31,t-statistic,unknown
abstract,global portfolio MDD,−8.4,percent,unknown
abstract,c2c alpha capturable (78% NOT capturable),78,percent,unknown
intro/contrib1,HAC t-stat gold inverted leverage,−5.79,t-statistic,K799/K902
intro/contrib1,p-value gold inverted leverage,0.001,p-value,K799/K902
intro/contrib1,pct quarterly windows gold negative gamma,93,percent,K799/K902
intro/contrib1,regime diff t-stat gold,−4.71,t-statistic,unknown
intro/contrib1,p-value regime diff gold,0.0001,p-value,unknown
intro/contrib1,DM comparisons correctly classified,12,count,K799/K802/K902
intro/contrib2,equity-type Spearman rho (6 assets),0.886,correlation,K799/K902
intro/contrib2,equity-type rho p-value,0.019,p-value,K799/K902
intro/contrib2,OOS rho 2010-2017 to 2018-2026,0.821,correlation,unknown
intro/contrib2,diverse-asset Spearman rho (12 assets),−0.448,correlation,unknown
intro/contrib2,diverse-asset p-value,0.14,p-value,unknown
intro/contrib2,MDD-base_vol rho,0.944,correlation,unknown
intro/contrib3,Hong Kong c2c t-stat,4.12,t-statistic,unknown
intro/contrib3,Australia c2c t-stat,4.04,t-statistic,unknown
intro/contrib3,Singapore c2c t-stat,4.03,t-statistic,unknown
intro/contrib3,Korea c2c t-stat,3.83,t-statistic,unknown
intro/contrib3,Taiwan c2c t-stat,3.75,t-statistic,unknown
intro/contrib3,Japan c2c t-stat,3.69,t-statistic,unknown
intro/contrib3,global portfolio c2c Sharpe,1.61,Sharpe ratio,unknown
intro/contrib3,global portfolio c2c t-stat,4.31,t-statistic,unknown
intro/contrib3,global portfolio MDD,−8.4,percent,unknown
intro/contrib3,pct c2c alpha not capturable (o2o),78,percent,unknown
Table1/SPY,mean return,0.063,percent,K902
Table1/SPY,std dev,1.16,percent,K902
Table1/SPY,skewness,−0.32,dimensionless,K902
Table1/SPY,excess kurtosis,14.6,dimensionless,K902
Table1/SPY,minimum return,−10.9,percent,K902
Table1/SPY,maximum return,10.5,percent,K902
Table1/SPY,N,2260,count,K902
Table1/QQQ,mean return,0.086,percent,K902
Table1/QQQ,std dev,1.45,percent,K902
Table1/QQQ,skewness,−0.19,dimensionless,K902
Table1/QQQ,excess kurtosis,7.6,dimensionless,K902
Table1/QQQ,minimum,−12.0,percent,K902
Table1/QQQ,maximum,12.0,percent,K902
Table1/QQQ,N,2260,count,K902
Table1/EEM,mean,0.036,percent,K902
Table1/EEM,std,1.27,percent,K902
Table1/EEM,skewness,−0.57,dimensionless,K902
Table1/EEM,kurtosis,9.9,dimensionless,K902
Table1/EEM,min,−12.5,percent,K902
Table1/EEM,max,8.1,percent,K902
Table1/EEM,N,2260,count,K902
Table1/GLD,mean,0.061,percent,K902
Table1/GLD,std,0.92,percent,K902
Table1/GLD,skewness,−0.30,dimensionless,K902
Table1/GLD,kurtosis,3.5,dimensionless,K902
Table1/GLD,min,−6.4,percent,K902
Table1/GLD,max,4.9,percent,K902
Table1/GLD,N,2260,count,K902
Table1/TLT,mean,0.002,percent,K902
Table1/TLT,std,0.96,percent,K902
Table1/TLT,skewness,0.15,dimensionless,K902
Table1/TLT,kurtosis,5.1,dimensionless,K902
Table1/TLT,min,−6.7,percent,K902
Table1/TLT,max,7.5,percent,K902
Table1/TLT,N,2260,count,K902
Table1/BTC,mean,0.202,percent,K902
Table1/BTC,std,3.61,percent,K902
Table1/BTC,skewness,−0.03,dimensionless,K902
Table1/BTC,kurtosis,7.7,dimensionless,K902
Table1/BTC,min,−37.2,percent,K902
Table1/BTC,max,25.2,percent,K902
Table1/BTC,N,3285,count,K902
